"","daynight","Location2","Underpass.type","average.effort","Total"
"1","day","Dead Man's","Jumpout",9.4,4
"2","night","Dead Man's","Jumpout",9.4,7
"3","night","Dead Man's","Jumpout",9.90909090909091,2
"4","day","Stewart Creek","Jumpout",10.0909090909091,2
"5","night","Stewart Creek","Jumpout",10.0909090909091,10
"6","day","Stewart Creek","Underpass",10.1818181818182,69
"7","night","Stewart Creek","Underpass",10.1818181818182,208
"8","day","Wind Valley","Underpass",10.5833333333333,18
"9","night","Wind Valley","Underpass",10.5833333333333,90
"10","day","Dead Man's","Jumpout",11.5555555555556,1
"11","night","Dead Man's","Jumpout",11.5555555555556,1
