"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",0.574302559243805,0.131484424427072,0.98183355907895,1119.58385103415,0.0114754098360657,"fixed"
"2","HourEnding",-0.276556273627188,-0.324288058181992,-0.233509818936,1220,0.000819672131147541,"fixed"
"3","Hour.sq",0.00971167625301809,0.00796939851716161,0.0115518878883449,1220,0.000819672131147541,"fixed"
"4","Two.way",0.000176671147783224,0.000146340564242564,0.000205309435841627,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.346406757919091,-0.171924062509788,0.833631306728421,1220,0.163934426229508,"fixed"
"6","Location2Wind Valley",0.158106060283293,-0.251391608622725,0.513349626184208,1220,0.398360655737705,"fixed"
"7","Underpass.typeUnderpass",1.02234689463349,0.728459912745166,1.35674891649978,1220,0.000819672131147541,"fixed"
"8","Human.total.x",-0.157723286705972,-0.186918805098685,-0.127489329030141,1220,0.000819672131147541,"fixed"
"9","Agecentred",0.00351828511766559,-0.0734512384224217,0.0784291130858037,1220,0.949180327868852,"fixed"
"10","Year",0.0812010491289607,0.00395514211998903,0.210945370084308,1220,NA,"random"
"11","Sampling.effort",0.130407363937468,0.00141226594878979,0.334406720742153,1060.19826277475,NA,"random"
"12","units",0.169299536509067,0.0896193069982708,0.241218775160163,876.578168787815,NA,"residual"
