"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-1.38090466520927,-6.60198202001266,3.48253827952431,1090.7379244421,0.322950819672131,"fixed"
"2","Month",-0.208004049762814,-0.331394148491199,-0.0554587060250924,1220,0.00491803278688525,"fixed"
"3","Month.sq",0.0152327068960168,0.00417303347785491,0.0250558200277737,1220,0.00655737704918025,"fixed"
"4","Two.way",0.000140811758760844,0.000114452239358798,0.000165994777489686,1190.25492691263,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.763172041280987,-8.64466025844013,11.9754907713796,1122.92654743787,0.719672131147541,"fixed"
"6","Location2Wind Valley",0.58578286591791,-16.405956604227,16.5144692645117,1220,0.880327868852459,"fixed"
"7","Underpass.typeUnderpass",1.60761774141617,-11.9644787252405,13.3601465029642,1220,0.531147540983607,"fixed"
"8","Human.total.x",-0.100653805600872,-0.130230498732999,-0.0704012600835995,1335.85816782981,0.000819672131147541,"fixed"
"9","Agecentred",0.0257474495607298,-0.0143321205832763,0.0639694961137138,1220,0.20655737704918,"fixed"
"10","Location",71.6977445664535,0.0922183730445807,88.3859996249471,1220,NA,"random"
"11","units",0.931582681231947,0.701572445708461,1.15996025595408,1220,NA,"residual"
