"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",1.00355870566743,0.430265851318836,1.44050807219173,1220,0.000819672131147541,"fixed"
"2","HourEnding",-0.0341785062394545,-0.062541325300117,-0.00688112692296272,1220,0.0180327868852459,"fixed"
"3","Hour.sq",0.00119218055099966,4.47302300017327e-05,0.00215958528860938,1220,0.0311475409836066,"fixed"
"4","Two.way",4.45789147629996e-05,3.80421261070296e-05,5.06330179632641e-05,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.124003751081948,-0.491969710463309,0.681447114438924,1220,0.663934426229508,"fixed"
"6","Location2Wind Valley",-0.474998493463822,-0.68466244279989,-0.221726755989948,1220,0.00163934426229508,"fixed"
"7","Underpass.typeUnderpass",2.37807406948541,2.18107676363434,2.60301260862616,1220,0.000819672131147541,"fixed"
"8","Human.total.x",-0.0801203169081495,-0.0902729856679798,-0.0693700394767802,1220,0.000819672131147541,"fixed"
"9","Agecentred",-0.0942149960032477,-0.200482686072064,0.0140899916586932,1220,0.0868852459016393,"fixed"
"10","Year",0.168910356863805,0.0175670594313626,0.393281345217158,832.535142379991,NA,"random"
"11","Sampling.effort",0.309720846814683,0.0812422851546485,0.65610822415947,1220,NA,"random"
"12","units",0.497602554822378,0.442035349844339,0.559578848220894,1220,NA,"residual"
