"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-1.05230163012298,-1.62502263777787,-0.473720483080569,1220,0.000819672131147541,"fixed"
"2","Month",0.662315797481105,0.539693021011772,0.803172135634668,1220,0.000819672131147541,"fixed"
"3","Month.sq",-0.0472473030354188,-0.0565280453301966,-0.0375223665614612,1220,0.000819672131147541,"fixed"
"4","Two.way",3.16598688428022e-05,2.57157007581554e-05,3.71741480194032e-05,1235.47095752753,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",-0.0618188786460494,-0.557430383312749,0.522782237443607,1220,0.834426229508197,"fixed"
"6","Location2Wind Valley",0.00110595434308398,-0.419593441274628,0.390298114609323,1220,0.99672131147541,"fixed"
"7","Underpass.typeUnderpass",2.22513593847476,1.86825244539068,2.64279568044003,1220,0.000819672131147541,"fixed"
"8","Human.total.x",0.00642280052468411,-0.00985677188145928,0.0212514688319061,1220,0.434426229508197,"fixed"
"9","Agecentred",-0.0381114205523691,-0.131757590725101,0.0647086127428338,1146.21320699899,0.426229508196721,"fixed"
"10","Year",0.0391357530664555,8.19526726929181e-08,0.137521898113971,1243.26872409409,NA,"random"
"11","Sampling.effort",0.444836188836507,0.115802013450069,0.910542367884581,1220,NA,"random"
"12","units",1.044289935174,0.87727694484365,1.19790778596548,1220,NA,"residual"
