Day,Month,Sunrise,Sunrise.hr.before,Sunrise.hr.after,Sunset,Sunset.hr.before,Sunset.hr.after
1,1,08:44:00,07:44:00,09:44:00,16:44:00,15:44:00,17:44:00
2,1,08:44:00,07:44:00,09:44:00,16:46:00,15:46:00,17:46:00
3,1,08:44:00,07:44:00,09:44:00,16:47:00,15:47:00,17:47:00
4,1,08:44:00,07:44:00,09:44:00,16:48:00,15:48:00,17:48:00
5,1,08:44:00,07:44:00,09:44:00,16:49:00,15:49:00,17:49:00
6,1,08:43:00,07:43:00,09:43:00,16:50:00,15:50:00,17:50:00
7,1,08:43:00,07:43:00,09:43:00,16:51:00,15:51:00,17:51:00
8,1,08:43:00,07:43:00,09:43:00,16:53:00,15:53:00,17:53:00
9,1,08:42:00,07:42:00,09:42:00,16:54:00,15:54:00,17:54:00
10,1,08:42:00,07:42:00,09:42:00,16:55:00,15:55:00,17:55:00
11,1,08:41:00,07:41:00,09:41:00,16:57:00,15:57:00,17:57:00
12,1,08:40:00,07:40:00,09:40:00,16:58:00,15:58:00,17:58:00
13,1,08:40:00,07:40:00,09:40:00,17:00:00,16:00:00,18:00:00
14,1,08:39:00,07:39:00,09:39:00,17:01:00,16:01:00,18:01:00
15,1,08:38:00,07:38:00,09:38:00,17:03:00,16:03:00,18:03:00
16,1,08:37:00,07:37:00,09:37:00,17:04:00,16:04:00,18:04:00
17,1,08:36:00,07:36:00,09:36:00,17:06:00,16:06:00,18:06:00
18,1,08:36:00,07:36:00,09:36:00,17:07:00,16:07:00,18:07:00
19,1,08:35:00,07:35:00,09:35:00,17:09:00,16:09:00,18:09:00
20,1,08:34:00,07:34:00,09:34:00,17:11:00,16:11:00,18:11:00
21,1,08:33:00,07:33:00,09:33:00,17:12:00,16:12:00,18:12:00
22,1,08:31:00,07:31:00,09:31:00,17:14:00,16:14:00,18:14:00
23,1,08:30:00,07:30:00,09:30:00,17:16:00,16:16:00,18:16:00
24,1,08:29:00,07:29:00,09:29:00,17:17:00,16:17:00,18:17:00
25,1,08:28:00,07:28:00,09:28:00,17:19:00,16:19:00,18:19:00
26,1,08:27:00,07:27:00,09:27:00,17:21:00,16:21:00,18:21:00
27,1,08:25:00,07:25:00,09:25:00,17:23:00,16:23:00,18:23:00
28,1,08:24:00,07:24:00,09:24:00,17:24:00,16:24:00,18:24:00
29,1,08:23:00,07:23:00,09:23:00,17:26:00,16:26:00,18:26:00
30,1,08:21:00,07:21:00,09:21:00,17:28:00,16:28:00,18:28:00
31,1,08:20:00,07:20:00,09:20:00,17:30:00,16:30:00,18:30:00
1,2,08:18:00,07:18:00,09:18:00,17:31:00,16:31:00,18:31:00
2,2,08:17:00,07:17:00,09:17:00,17:33:00,16:33:00,18:33:00
3,2,08:15:00,07:15:00,09:15:00,17:35:00,16:35:00,18:35:00
4,2,08:14:00,07:14:00,09:14:00,17:37:00,16:37:00,18:37:00
5,2,08:12:00,07:12:00,09:12:00,17:38:00,16:38:00,18:38:00
6,2,08:10:00,07:10:00,09:10:00,17:40:00,16:40:00,18:40:00
7,2,08:09:00,07:09:00,09:09:00,17:42:00,16:42:00,18:42:00
8,2,08:07:00,07:07:00,09:07:00,17:44:00,16:44:00,18:44:00
9,2,08:05:00,07:05:00,09:05:00,17:46:00,16:46:00,18:46:00
10,2,08:03:00,07:03:00,09:03:00,17:47:00,16:47:00,18:47:00
11,2,08:02:00,07:02:00,09:02:00,17:49:00,16:49:00,18:49:00
12,2,08:00:00,07:00:00,09:00:00,17:51:00,16:51:00,18:51:00
13,2,07:58:00,06:58:00,08:58:00,17:53:00,16:53:00,18:53:00
14,2,07:56:00,06:56:00,08:56:00,17:55:00,16:55:00,18:55:00
15,2,07:54:00,06:54:00,08:54:00,17:56:00,16:56:00,18:56:00
16,2,07:52:00,06:52:00,08:52:00,17:58:00,16:58:00,18:58:00
