"","daynight","Location2","Underpass.type","average.effort","Total"
"1","day","Dead Man's","Jumpout",9.4,180
"2","night","Dead Man's","Jumpout",9.4,718
"3","day","Dead Man's","Jumpout",9.90909090909091,242
"4","night","Dead Man's","Jumpout",9.90909090909091,239
"5","day","Stewart Creek","Jumpout",10.0909090909091,60
"6","night","Stewart Creek","Jumpout",10.0909090909091,113
"7","day","Stewart Creek","Underpass",10.1818181818182,1333
"8","night","Stewart Creek","Underpass",10.1818181818182,2304
"9","day","Wind Valley","Underpass",10.5833333333333,668
"10","night","Wind Valley","Underpass",10.5833333333333,1540
"11","day","Dead Man's","Jumpout",11.5555555555556,17
"12","night","Dead Man's","Jumpout",11.5555555555556,15
