"","Month","Location2","Underpass.type","average.effort","monthly.traffic","monthly.human","Agecentred","Total","Month.sq"
"1",9,"Stewart Creek","Underpass",10.1818181818182,908.563636363636,1.54761904761905,-3.0206810110717,823,81
"2",7,"Stewart Creek","Jumpout",10.0909090909091,1187.73985826002,1.57142857142857,-3.0206810110717,44,49
"3",4,"Stewart Creek","Underpass",10.1818181818182,713.36994949495,1.58333333333333,-3.0206810110717,174,16
"4",1,"Stewart Creek","Underpass",10.1818181818182,622.940982404692,1.6,-3.0206810110717,11,1
"5",7,"Stewart Creek","Underpass",10.1818181818182,1187.73985826002,1.68421052631579,-3.0206810110717,558,49
"6",11,"Stewart Creek","Underpass",10.1818181818182,593.156439393939,1.70833333333333,-3.0206810110717,138,121
"7",6,"Stewart Creek","Underpass",10.1818181818182,872.393434343434,1.71428571428571,-3.0206810110717,355,36
"8",10,"Stewart Creek","Underpass",10.1818181818182,701.422898338221,1.72727272727273,-3.0206810110717,539,100
"9",8,"Stewart Creek","Underpass",10.1818181818182,1218.88758553275,1.72972972972973,-3.0206810110717,606,64
"10",10,"Stewart Creek","Jumpout",10.0909090909091,701.422898338221,1.73333333333333,-3.0206810110717,4,100
"11",11,"Stewart Creek","Jumpout",10.0909090909091,593.156439393939,1.75,-3.0206810110717,6,121
"12",2,"Stewart Creek","Underpass",10.1818181818182,680.33038585209,1.79310344827586,-3.0206810110717,7,4
"13",1,"Stewart Creek","Jumpout",10.0909090909091,622.940982404692,1.82352941176471,-3.0206810110717,7,1
"14",3,"Stewart Creek","Underpass",10.1818181818182,692.367790811339,1.89655172413793,-3.0206810110717,15,9
"15",12,"Stewart Creek","Underpass",10.1818181818182,656.302688172043,2,-3.0206810110717,35,144
"16",2,"Stewart Creek","Jumpout",10.0909090909091,680.33038585209,2,-3.0206810110717,19,4
"17",3,"Stewart Creek","Jumpout",10.0909090909091,692.367790811339,2,-3.0206810110717,15,9
"18",6,"Stewart Creek","Jumpout",10.0909090909091,872.393434343434,2,-3.0206810110717,35,36
"19",9,"Stewart Creek","Jumpout",10.0909090909091,908.563636363636,2.07142857142857,-3.0206810110717,5,81
"20",12,"Stewart Creek","Jumpout",10.0909090909091,656.302688172043,2.07692307692308,-3.0206810110717,2,144
"21",8,"Stewart Creek","Jumpout",10.0909090909091,1218.88758553275,2.85714285714286,-3.0206810110717,17,64
"22",2,"Wind Valley","Underpass",10.5833333333333,680.33038585209,1.38461538461538,1.9793189889283,18,4
"23",1,"Wind Valley","Underpass",10.5833333333333,622.940982404692,1.44444444444444,1.9793189889283,66,1
"24",10,"Dead Man's","Jumpout",9.4,701.422898338221,1.5,1.9793189889283,31,100
"25",10,"Dead Man's","Jumpout",9.90909090909091,701.422898338221,1.5,1.9793189889283,6,100
"26",10,"Dead Man's","Jumpout",11.5555555555556,701.422898338221,1.5,1.9793189889283,1,100
"27",6,"Dead Man's","Jumpout",9.4,872.393434343434,1.50625,1.9793189889283,128,36
"28",6,"Dead Man's","Jumpout",9.90909090909091,872.393434343434,1.50625,1.9793189889283,81,36
"29",6,"Dead Man's","Jumpout",11.5555555555556,872.393434343434,1.50625,1.9793189889283,16,36
"30",4,"Wind Valley","Underpass",10.5833333333333,713.36994949495,1.51515151515152,1.9793189889283,123,16
"31",10,"Wind Valley","Underpass",10.5833333333333,701.422898338221,1.52,1.9793189889283,117,100
"32",7,"Wind Valley","Underpass",10.5833333333333,1187.73985826002,1.54166666666667,1.9793189889283,392,49
"33",3,"Wind Valley","Underpass",10.5833333333333,692.367790811339,1.56756756756757,1.9793189889283,28,9
"34",11,"Wind Valley","Underpass",10.5833333333333,593.156439393939,1.57142857142857,1.9793189889283,147,121
"35",7,"Dead Man's","Jumpout",9.4,1187.73985826002,1.62244897959184,1.9793189889283,105,49
"36",7,"Dead Man's","Jumpout",9.90909090909091,1187.73985826002,1.62244897959184,1.9793189889283,34,49
"37",7,"Dead Man's","Jumpout",11.5555555555556,1187.73985826002,1.62244897959184,1.9793189889283,3,49
"38",9,"Dead Man's","Jumpout",9.4,908.563636363636,1.64948453608247,1.9793189889283,36,81
"39",9,"Dead Man's","Jumpout",9.90909090909091,908.563636363636,1.64948453608247,1.9793189889283,3,81
"40",6,"Wind Valley","Underpass",10.5833333333333,872.393434343434,1.65714285714286,1.9793189889283,590,36
"41",8,"Wind Valley","Underpass",10.5833333333333,1218.88758553275,1.66666666666667,1.9793189889283,184,64
"42",4,"Dead Man's","Jumpout",9.4,713.36994949495,1.69230769230769,1.9793189889283,29,16
"43",4,"Dead Man's","Jumpout",9.90909090909091,713.36994949495,1.69230769230769,1.9793189889283,44,16
"44",1,"Dead Man's","Jumpout",9.4,622.940982404692,1.6986301369863,1.9793189889283,143,1
"45",1,"Dead Man's","Jumpout",9.90909090909091,622.940982404692,1.6986301369863,1.9793189889283,2,1
"46",3,"Dead Man's","Jumpout",9.4,692.367790811339,1.69879518072289,1.9793189889283,54,9
"47",3,"Dead Man's","Jumpout",9.90909090909091,692.367790811339,1.69879518072289,1.9793189889283,47,9
"48",12,"Wind Valley","Underpass",10.5833333333333,656.302688172043,1.76,1.9793189889283,97,144
"49",2,"Dead Man's","Jumpout",9.4,680.33038585209,1.7741935483871,1.9793189889283,84,4
"50",2,"Dead Man's","Jumpout",9.90909090909091,680.33038585209,1.7741935483871,1.9793189889283,9,4
"51",8,"Dead Man's","Jumpout",9.4,1218.88758553275,1.82608695652174,1.9793189889283,78,64
"52",8,"Dead Man's","Jumpout",9.90909090909091,1218.88758553275,1.82608695652174,1.9793189889283,10,64
"53",8,"Dead Man's","Jumpout",11.5555555555556,1218.88758553275,1.82608695652174,1.9793189889283,2,64
"54",12,"Dead Man's","Jumpout",9.4,656.302688172043,1.84146341463415,1.9793189889283,96,144
"55",12,"Dead Man's","Jumpout",9.90909090909091,656.302688172043,1.84146341463415,1.9793189889283,4,144
"56",11,"Dead Man's","Jumpout",9.4,593.156439393939,1.87628865979381,1.9793189889283,38,121
"57",11,"Dead Man's","Jumpout",9.90909090909091,593.156439393939,1.87628865979381,1.9793189889283,35,121
"58",9,"Wind Valley","Underpass",10.5833333333333,908.563636363636,2.37142857142857,1.9793189889283,121,81
