"","Location","Year","Location2","Underpass.type","annual.effort","Agecentred","annual.traffic","annual.human","Total"
"1","Stewart South Jumpout",2010,"Stewart Creek","Jumpout",1,-51.3103164504877,715.680479452055,32.7272727272727,4
"2","Stewart South Jumpout",2012,"Stewart Creek","Jumpout",18,-51.3103164504877,752.044057377049,32.7272727272727,1
"3","Stewart South Jumpout",2014,"Stewart Creek","Jumpout",17,-51.3103164504877,823.211529680365,32.7272727272727,1
"4","Stewart South Jumpout",2015,"Stewart Creek","Jumpout",13,-51.3103164504877,884.334589041096,32.7272727272727,3
"5","Stewart South Jumpout",2016,"Stewart Creek","Jumpout",11,-51.3103164504877,930.911657559198,32.7272727272727,2
"6","Stewart South Jumpout",2017,"Stewart Creek","Jumpout",11,-51.3103164504877,946.533736727937,32.7272727272727,1
"7","Stewart Creek Underpass",2008,"Stewart Creek","Underpass",5,-34.0375891777605,696.605988160291,50,37
"8","Stewart Creek Underpass",2009,"Stewart Creek","Underpass",0,-34.0375891777605,704.570662100457,50,37
"9","Stewart Creek Underpass",2010,"Stewart Creek","Underpass",1,-34.0375891777605,715.680479452055,50,23
"10","Stewart Creek Underpass",2011,"Stewart Creek","Underpass",5,-34.0375891777605,720.071917808219,50,25
"11","Stewart Creek Underpass",2012,"Stewart Creek","Underpass",19,-34.0375891777605,752.044057377049,50,25
"12","Stewart Creek Underpass",2013,"Stewart Creek","Underpass",17,-34.0375891777605,768.992922374429,50,23
"13","Stewart Creek Underpass",2014,"Stewart Creek","Underpass",15,-34.0375891777605,823.211529680365,50,23
"14","stewart Creek Underpass",2015,"Stewart Creek","Underpass",0,-34.0375891777605,884.334589041096,50,6
"15","Stewart Creek Underpass",2015,"Stewart Creek","Underpass",13,-34.0375891777605,884.334589041096,50,36
"16","Stewart Creek Underpass",2016,"Stewart Creek","Underpass",12,-34.0375891777605,930.911657559198,50,20
"17","Stewart Creek Underpass",2017,"Stewart Creek","Underpass",12,-34.0375891777605,946.533736727937,50,19
"18","Stewart Creek Underpass",2018,"Stewart Creek","Underpass",12,-34.0375891777605,950.874001996008,50,9
"19","Wind Valley Underpass",2008,"Wind Valley","Underpass",5,-18.7648619050332,696.605988160291,65.2727272727273,2
"20","Wind Valley Underpass",2009,"Wind Valley","Underpass",4,-18.7648619050332,704.570662100457,65.2727272727273,2
"21","Wind Valley Underpass",2010,"Wind Valley","Underpass",1,-18.7648619050332,715.680479452055,65.2727272727273,12
"22","Wind Valley Underpass",2011,"Wind Valley","Underpass",13,-18.7648619050332,720.071917808219,65.2727272727273,14
"23","Wind Valley Underpass",2012,"Wind Valley","Underpass",19,-18.7648619050332,752.044057377049,65.2727272727273,19
"24","Wind Valley Underpass",2013,"Wind Valley","Underpass",17,-18.7648619050332,768.992922374429,65.2727272727273,14
"25","Wind Valley Underpass",2014,"Wind Valley","Underpass",18,-18.7648619050332,823.211529680365,65.2727272727273,11
"26","Wind Valley Underpass",2015,"Wind Valley","Underpass",13,-18.7648619050332,884.334589041096,65.2727272727273,2
"27","Wind Valley Underpass",2016,"Wind Valley","Underpass",12,-18.7648619050332,930.911657559198,65.2727272727273,15
"28","Wind Valley Underpass",2017,"Wind Valley","Underpass",12,-18.7648619050332,946.533736727937,65.2727272727273,5
"29","Wind Valley Underpass",2018,"Wind Valley","Underpass",12,-18.7648619050332,950.874001996008,65.2727272727273,12
"30","Deadmans Northeast Jumpout",2009,"Dead Man's","Jumpout",0,109.235138094967,704.570662100457,193.272727272727,1
"31","Deadmans South Jumpout",2011,"Dead Man's","Jumpout",3,109.235138094967,720.071917808219,193.272727272727,1
"32","Deadmans Northwest Jumpout",2012,"Dead Man's","Jumpout",18,109.235138094967,752.044057377049,193.272727272727,1
"33","Deadmans Northeast Jumpout",2014,"Dead Man's","Jumpout",9,109.235138094967,823.211529680365,193.272727272727,3
"34","Deadmans Northeast Jumpout",2015,"Dead Man's","Jumpout",13,109.235138094967,884.334589041096,193.272727272727,2
"35","Deadmans Northeast Jumpout",2016,"Dead Man's","Jumpout",11,109.235138094967,930.911657559198,193.272727272727,1
"36","Deadmans Northeast Jumpout",2017,"Dead Man's","Jumpout",11,109.235138094967,946.533736727937,193.272727272727,2
"37","Deadmans South Jumpout",2017,"Dead Man's","Jumpout",12,109.235138094967,946.533736727937,193.272727272727,1
"38","Deadmans Northeast Jumpout",2018,"Dead Man's","Jumpout",11,109.235138094967,950.874001996008,193.272727272727,2
"39","Deadmans Northwest Jumpout",2018,"Dead Man's","Jumpout",12,109.235138094967,950.874001996008,193.272727272727,1
