Season,Location,Underpass.type,average.effort,Total
Autumn,Stewart Creek,Jumpout,10.09090909,4
Spring,Stewart Creek,Jumpout,10.09090909,5
Summer,Stewart Creek,Jumpout,10.09090909,3
Winter,Stewart Creek,Underpass,10.18181818,52
Spring,Stewart Creek,Underpass,10.18181818,44
Autumn,Stewart Creek,Underpass,10.18181818,78
Summer,Stewart Creek,Underpass,10.18181818,102
Winter,Wind Valley,Underpass,10.58333333,26
Summer,Wind Valley,Underpass,10.58333333,30
Spring,Wind Valley,Underpass,10.58333333,21
Autumn,Wind Valley,Underpass,10.58333333,31
Winter,Dead Man's,Jumpout,9.4,3
Autumn,Dead Man's,Jumpout,9.4,1
Autumn,Dead Man's,Jumpout,9.909090909,1
Summer,Dead Man's,Jumpout,9.4,4
Summer,Dead Man's,Jumpout,9.909090909,1
Spring,Dead Man's,Jumpout,9.4,3
Spring,Dead Man's,Jumpout,11.55555556,2
