"","Location","Year","Location2","Underpass.type","annual.effort","Agecentred","annual.traffic","annual.human","Total"
"1","Stewart South Jumpout",2008,"Stewart Creek","Jumpout",1,-0.775896338137812,696.605988160291,1,4
"2","Wind Valley Underpass",2009,"Wind Valley","Underpass",4,-0.743638273621683,704.570662100457,1.03225806451613,136
"3","Stewart Creek Underpass",2008,"Stewart Creek","Underpass",5,-0.721101817589867,696.605988160291,1.05479452054795,237
"4","Stewart South Jumpout",2009,"Stewart Creek","Jumpout",2,-0.713396338137812,704.570662100457,1.0625,39
"5","Deadmans South Jumpout",2008,"Dead Man's","Jumpout",1,-0.702725606430495,696.605988160291,1.07317073170732,4
"6","Wind Valley Underpass",2008,"Wind Valley","Underpass",5,-0.678335362528056,696.605988160291,1.09756097560976,121
"7","Stewart Creek Underpass",2009,"Stewart Creek","Underpass",0,-0.535896338137812,704.570662100457,1.24,203
"8","Deadmans Northeast Jumpout",2009,"Dead Man's","Jumpout",0,-0.425896338137812,704.570662100457,1.35,40
"9","Deadmans South Jumpout",2009,"Dead Man's","Jumpout",2,-0.425896338137812,704.570662100457,1.35,92
"10","Stewart South Jumpout",2010,"Stewart Creek","Jumpout",1,-0.412259974501449,715.680479452055,1.36363636363636,29
"11","Wind Valley Underpass",2018,"Wind Valley","Underpass",12,-0.354843706558865,950.874001996008,1.42105263157895,214
"12","Wind Valley Underpass",2010,"Wind Valley","Underpass",1,-0.292025370395877,715.680479452055,1.48387096774194,201
"13","Deadmans Northeast Jumpout",2013,"Dead Man's","Jumpout",10,-0.273750415391031,768.992922374429,1.50214592274678,63
"14","Deadmans South Jumpout",2013,"Dead Man's","Jumpout",17,-0.273750415391031,768.992922374429,1.50214592274678,15
"15","Deadmans Northeast Jumpout",2010,"Dead Man's","Jumpout",2,-0.207007449248923,715.680479452055,1.56888888888889,108
"16","Deadmans Northwest Jumpout",2010,"Dead Man's","Jumpout",2,-0.207007449248923,715.680479452055,1.56888888888889,18
"17","Deadmans South Jumpout",2010,"Dead Man's","Jumpout",3,-0.207007449248923,715.680479452055,1.56888888888889,69
"18","Wind Valley Underpass",2017,"Wind Valley","Underpass",12,-0.147324909566384,946.533736727937,1.62857142857143,220
"19","Deadmans Northeast Jumpout",2018,"Dead Man's","Jumpout",11,-0.0933566555981296,950.874001996008,1.68253968253968,25
"20","Deadmans Northwest Jumpout",2018,"Dead Man's","Jumpout",12,-0.0933566555981296,950.874001996008,1.68253968253968,1
"21","Deadmans South Jumpout",2018,"Dead Man's","Jumpout",12,-0.0933566555981296,950.874001996008,1.68253968253968,10
"22","Wind Valley Underpass",2012,"Wind Valley","Underpass",19,-0.0883963381378121,752.044057377049,1.6875,251
"23","Deadmans Northeast Jumpout",2012,"Dead Man's","Jumpout",16,-0.0358963381378121,752.044057377049,1.74,101
"24","Deadmans South Jumpout",2012,"Dead Man's","Jumpout",18,-0.0358963381378121,752.044057377049,1.74,61
"25","Stewart Creek Underpass",2010,"Stewart Creek","Underpass",1,-0.00666556890704295,715.680479452055,1.76923076923077,322
"26","Wind Valley Underpass",2016,"Wind Valley","Underpass",12,-0.000386134056179488,930.911657559198,1.77551020408163,304
"27","Stewart Creek Underpass",2012,"Stewart Creek","Underpass",19,0.00188143963996557,752.044057377049,1.77777777777778,339
"28","Stewart Creek Underpass",2017,"Stewart Creek","Underpass",12,0.0241036618621879,946.533736727937,1.8,422
"29","Deadmans Northwest Jumpout",2011,"Dead Man's","Jumpout",3,0.0263635488678375,720.071917808219,1.80225988700565,9
"30","Deadmans South Jumpout",2011,"Dead Man's","Jumpout",3,0.0263635488678375,720.071917808219,1.80225988700565,114
"31","Deadmans Northeast Jumpout",2011,"Dead Man's","Jumpout",10,0.0263635488678375,720.071917808219,1.80225988700565,253
"32","Deadmans Northeast Jumpout",2016,"Dead Man's","Jumpout",11,0.0398931355463985,930.911657559198,1.81578947368421,35
"33","Deadmans South Jumpout",2016,"Dead Man's","Jumpout",11,0.0398931355463985,930.911657559198,1.81578947368421,35
"34","Stewart Creek Underpass",2014,"Stewart Creek","Underpass",15,0.0628133392815426,823.211529680365,1.83870967741935,303
"35","Stewart South Jumpout",2017,"Stewart Creek","Jumpout",11,0.0812465190050451,946.533736727937,1.85714285714286,28
"36","Deadmans Northeast Jumpout",2014,"Dead Man's","Jumpout",9,0.104103661862188,823.211529680365,1.88,112
"37","Deadmans Northwest Jumpout",2014,"Dead Man's","Jumpout",17,0.104103661862188,823.211529680365,1.88,1
"38","Deadmans South Jumpout",2014,"Dead Man's","Jumpout",17,0.104103661862188,823.211529680365,1.88,8
"39","Stewart South Jumpout",2018,"Stewart Creek","Jumpout",12,0.133194570953097,950.874001996008,1.90909090909091,7
"40","Deadmans Northeast Jumpout",2015,"Dead Man's","Jumpout",13,0.160611598370124,884.334589041096,1.93650793650794,87
"41","Deadmans South Jumpout",2015,"Dead Man's","Jumpout",13,0.160611598370124,884.334589041096,1.93650793650794,27
"42","Stewart South Jumpout",2011,"Stewart Creek","Jumpout",8,0.165280132450423,720.071917808219,1.94117647058824,25
"43","Stewart South Jumpout",2012,"Stewart Creek","Jumpout",18,0.178649116407642,752.044057377049,1.95454545454545,4
"44","Wind Valley Underpass",2015,"Wind Valley","Underpass",13,0.192853661862188,884.334589041096,1.96875,159
"45","stewart Creek Underpass",2015,"Stewart Creek","Underpass",0,0.224103661862188,884.334589041096,2,51
"46","Stewart Creek Underpass",2015,"Stewart Creek","Underpass",13,0.224103661862188,884.334589041096,2,345
"47","Stewart Creek Underpass",2018,"Stewart Creek","Underpass",12,0.224103661862188,950.874001996008,2,208
"48","Deadmans Northeast Jumpout",2017,"Dead Man's","Jumpout",11,0.244936995195521,946.533736727937,2.02083333333333,74
"49","Deadmans Northwest Jumpout",2017,"Dead Man's","Jumpout",11,0.244936995195521,946.533736727937,2.02083333333333,3
"50","Deadmans South Jumpout",2017,"Dead Man's","Jumpout",12,0.244936995195521,946.533736727937,2.02083333333333,46
"51","Wind Valley Underpass",2014,"Wind Valley","Underpass",18,0.293069179103567,823.211529680365,2.06896551724138,129
"52","Stewart Creek Underpass",2011,"Stewart Creek","Underpass",5,0.390770328528854,720.071917808219,2.16666666666667,188
"53","Wind Valley Underpass",2013,"Wind Valley","Underpass",17,0.429986014803365,768.992922374429,2.20588235294118,207
