"","HourEnding","Location2","Underpass.type","average.effort","hourly.traffic","hourly.human","Agecentred","Total","Hour.sq"
"1",4,"Stewart Creek","Jumpout",10.0909090909091,69.5119402985075,0,-3.0206810110717,20,16
"2",4,"Stewart Creek","Underpass",10.1818181818182,69.5119402985075,0,-3.0206810110717,143,16
"3",3,"Stewart Creek","Jumpout",10.0909090909091,79.4122383252818,0,-3.0206810110717,7,9
"4",3,"Stewart Creek","Underpass",10.1818181818182,79.4122383252818,0,-3.0206810110717,186,9
"5",5,"Stewart Creek","Jumpout",10.0909090909091,79.7352024922118,0,-3.0206810110717,19,25
"6",5,"Stewart Creek","Underpass",10.1818181818182,79.7352024922118,0,-3.0206810110717,151,25
"7",2,"Stewart Creek","Jumpout",10.0909090909091,107.44925124792,0,-3.0206810110717,5,4
"8",2,"Stewart Creek","Underpass",10.1818181818182,107.44925124792,0,-3.0206810110717,135,4
"9",6,"Stewart Creek","Jumpout",10.0909090909091,159.436731742589,0,-3.0206810110717,22,36
"10",6,"Stewart Creek","Underpass",10.1818181818182,159.436731742589,0,-3.0206810110717,281,36
"11",1,"Stewart Creek","Jumpout",10.0909090909091,173.106164383562,0,-3.0206810110717,5,1
"12",1,"Stewart Creek","Underpass",10.1818181818182,173.106164383562,0,-3.0206810110717,155,1
"13",7,"Stewart Creek","Jumpout",10.0909090909091,363.779220779221,0,-3.0206810110717,14,49
"14",8,"Stewart Creek","Jumpout",10.0909090909091,667.853634577603,0,-3.0206810110717,4,64
"15",22,"Stewart Creek","Jumpout",10.0909090909091,719.700673724735,0,-3.0206810110717,9,484
"16",22,"Stewart Creek","Underpass",10.1818181818182,719.700673724735,0,-3.0206810110717,392,484
"17",21,"Stewart Creek","Jumpout",10.0909090909091,885.491379310345,0,-3.0206810110717,9,441
"18",21,"Stewart Creek","Underpass",10.1818181818182,885.491379310345,0,-3.0206810110717,248,441
"19",24,"Stewart Creek","Underpass",10.1818181818182,303.289193302892,1,-3.0206810110717,208,576
"20",7,"Stewart Creek","Underpass",10.1818181818182,363.779220779221,1,-3.0206810110717,343,49
"21",8,"Stewart Creek","Underpass",10.1818181818182,667.853634577603,1,-3.0206810110717,324,64
"22",9,"Stewart Creek","Underpass",10.1818181818182,976.041763341067,1,-3.0206810110717,220,81
"23",20,"Stewart Creek","Jumpout",10.0909090909091,1103.34282460137,1,-3.0206810110717,7,400
"24",19,"Stewart Creek","Jumpout",10.0909090909091,1282.12746386334,1,-3.0206810110717,3,361
"25",18,"Stewart Creek","Jumpout",10.0909090909091,1606.96284829721,1,-3.0206810110717,2,324
"26",18,"Stewart Creek","Underpass",10.1818181818182,1606.96284829721,1.16666666666667,-3.0206810110717,30,324
"27",16,"Stewart Creek","Jumpout",10.0909090909091,1628.75680272109,1.25,-3.0206810110717,2,256
"28",20,"Stewart Creek","Underpass",10.1818181818182,1103.34282460137,1.28571428571429,-3.0206810110717,139,400
"29",10,"Stewart Creek","Underpass",10.1818181818182,1209.6592039801,1.35,-3.0206810110717,113,100
"30",15,"Stewart Creek","Underpass",10.1818181818182,1469.29160530191,1.46428571428571,-3.0206810110717,13,225
"31",13,"Stewart Creek","Jumpout",10.0909090909091,1390.72808132147,1.47826086956522,-3.0206810110717,2,169
"32",9,"Stewart Creek","Jumpout",10.0909090909091,976.041763341067,1.5,-3.0206810110717,2,81
"33",19,"Stewart Creek","Underpass",10.1818181818182,1282.12746386334,1.5,-3.0206810110717,64,361
"34",16,"Stewart Creek","Underpass",10.1818181818182,1628.75680272109,1.54545454545455,-3.0206810110717,16,256
"35",11,"Stewart Creek","Underpass",10.1818181818182,1393.5107102593,1.61290322580645,-3.0206810110717,70,121
"36",17,"Stewart Creek","Underpass",10.1818181818182,1739.3724137931,1.6875,-3.0206810110717,16,289
"37",13,"Stewart Creek","Underpass",10.1818181818182,1390.72808132147,1.86567164179104,-3.0206810110717,25,169
"38",14,"Stewart Creek","Jumpout",10.0909090909091,1445.3359375,1.88235294117647,-3.0206810110717,1,196
"39",14,"Stewart Creek","Underpass",10.1818181818182,1445.3359375,1.90909090909091,-3.0206810110717,32,196
"40",24,"Stewart Creek","Jumpout",10.0909090909091,303.289193302892,2,-3.0206810110717,19,576
"41",23,"Stewart Creek","Jumpout",10.0909090909091,509.863970588235,2,-3.0206810110717,10,529
"42",23,"Stewart Creek","Underpass",10.1818181818182,509.863970588235,2,-3.0206810110717,302,529
"43",12,"Stewart Creek","Underpass",10.1818181818182,1530.93138357705,2.01388888888889,-3.0206810110717,31,144
"44",11,"Stewart Creek","Jumpout",10.0909090909091,1393.5107102593,2.05769230769231,-3.0206810110717,5,121
"45",10,"Stewart Creek","Jumpout",10.0909090909091,1209.6592039801,2.07407407407407,-3.0206810110717,4,100
"46",12,"Stewart Creek","Jumpout",10.0909090909091,1530.93138357705,2.28,-3.0206810110717,1,144
"47",15,"Stewart Creek","Jumpout",10.0909090909091,1469.29160530191,2.93333333333333,-3.0206810110717,1,225
"48",4,"Dead Man's","Jumpout",9.4,69.5119402985075,0,1.9793189889283,90,16
"49",4,"Dead Man's","Jumpout",9.90909090909091,69.5119402985075,0,1.9793189889283,23,16
