Species,Guild,Mitigation.status,Case.year,Damage threshold,Collision.count per year
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Elk,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Elk,Ungulate,No structures built,1991,1000,25
Elk,Ungulate,No structures built,1991,1000,25
Elk,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Elk,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Unknown,Unknown,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Deer,Ungulate,No structures built,1991,1000,25
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Elk,Ungulate,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1992,1000,24
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1993,1000,34
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1994,1000,36
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1995,1000,28
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1996,1000,30
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
Unknown,Unknown,No structures built,1997,1000,33
