Taxon ID ,WMU or AMA,Year,Estimate
Elk,314,2001,285
Elk,404,2001,480
Elk,406,2001,515
Elk,408,2001,300
Elk,410,2001,130
Elk,314,2002,270
Elk,404,2002,480
Elk,406,2002,515
Elk,408,2002,350
Elk,410,2002,130
Elk,314,2003,277.5
Elk,404,2003,480
Elk,406,2003,515
Elk,408,2003,390
Elk,410,2003,130
Elk,314,2004,247.5
Elk,404,2004,480
Elk,406,2004,515
Elk,408,2004,390
Elk,410,2004,130
Elk,314,2005,240
Elk,404,2005,480
Elk,406,2005,515
Elk,408,2005,330
Elk,410,2005,130
Elk,314,2006,240
Elk,404,2006,480
Elk,406,2006,515
Elk,408,2006,330
Elk,410,2006,130
Elk,314,2007,280
Elk,404,2007,480
Elk,406,2007,515
Elk,408,2007,330
Elk,410,2007,130
Elk,314,2008,280
Elk,404,2008,480
Elk,406,2008,515
Elk,408,2008,330
Elk,410,2008,160
Elk,314,2009,410
Elk,404,2009,480
Elk,406,2009,515
Elk,408,2009,330
Elk,410,2009,130
Elk,314,2010,380
Elk,404,2010,480
Elk,406,2010,515
Elk,408,2010,330
Elk,410,2010,130
Elk,314,2011,400
Elk,404,2011,480
Elk,406,2011,515
Elk,408,2011,330
Elk,410,2011,130
Elk,314,2012,420
Elk,404,2012,486
Elk,406,2012,515
Elk,408,2012,330
Elk,410,2012,130
Elk,314,2013,210
Elk,404,2013,480
Elk,406,2013,515
Elk,408,2013,330
Elk,410,2013,240
Elk,314,2014,765
Elk,404,2014,480
Elk,406,2014,515
Elk,408,2014,250
Elk,410,2014,240
Elk,314,2015,975
Elk,404,2015,480
Elk,406,2015,515
Elk,408,2015,150
Elk,410,2015,240
Elk,314,2016,1101
Elk,404,2016,459
Elk,406,2016,521
Elk,408,2016,253
Elk,410,2016,243
Moose,314,2001,870
Moose,404,2001,180
Moose,406,2001,500
Moose,408,2001,35
Moose,410,2001,5
Moose,314,2002,920
Moose,404,2002,180
Moose,406,2002,500
Moose,408,2002,50
Moose,410,2002,5
Moose,314,2003,940
Moose,404,2003,180
Moose,406,2003,500
Moose,408,2003,50
Moose,410,2003,5
Moose,314,2004,980
Moose,404,2004,180
Moose,406,2004,500
Moose,408,2004,50
Moose,410,2004,5
Moose,314,2005,740
Moose,404,2005,180
Moose,406,2005,500
Moose,408,2005,50
Moose,410,2005,5
Moose,314,2006,790
Moose,404,2006,180
Moose,406,2006,500
Moose,408,2006,50
Moose,410,2006,5
Moose,314,2007,845
Moose,404,2007,180
Moose,406,2007,500
Moose,408,2007,50
Moose,410,2007,5
Moose,314,2008,845
Moose,404,2008,180
Moose,406,2008,500
Moose,408,2008,50
