"","Location","Year","Location2","Underpass.type","annual.effort","annual.traffic","annual.human","Total"
"1","Stewart South Jumpout",2008,"Stewart Creek","Jumpout",1,696.605988160291,32.7272727272727,3
"2","Stewart South Jumpout",2010,"Stewart Creek","Jumpout",1,715.680479452055,32.7272727272727,5
"3","Stewart South Jumpout",2011,"Stewart Creek","Jumpout",8,720.071917808219,32.7272727272727,4
"4","Stewart South Jumpout",2012,"Stewart Creek","Jumpout",18,752.044057377049,32.7272727272727,3
"5","Stewart South Jumpout",2013,"Stewart Creek","Jumpout",17,768.992922374429,32.7272727272727,13
"6","Stewart South Jumpout",2014,"Stewart Creek","Jumpout",17,823.211529680365,32.7272727272727,8
"7","Stewart South Jumpout",2015,"Stewart Creek","Jumpout",13,884.334589041096,32.7272727272727,2
"8","Stewart South Jumpout",2016,"Stewart Creek","Jumpout",11,930.911657559198,32.7272727272727,8
"9","Stewart South Jumpout",2017,"Stewart Creek","Jumpout",11,946.533736727937,32.7272727272727,7
"10","Stewart South Jumpout",2018,"Stewart Creek","Jumpout",12,950.874001996008,32.7272727272727,5
"11","Stewart Creek Underpass",2008,"Stewart Creek","Underpass",5,696.605988160291,50,55
"12","Stewart Creek Underpass",2009,"Stewart Creek","Underpass",0,704.570662100457,50,32
"13","Stewart Creek Underpass",2010,"Stewart Creek","Underpass",1,715.680479452055,50,5
"14","Stewart Creek Underpass",2011,"Stewart Creek","Underpass",5,720.071917808219,50,10
"15","Stewart Creek Underpass",2012,"Stewart Creek","Underpass",19,752.044057377049,50,8
"16","Stewart Creek Underpass",2013,"Stewart Creek","Underpass",17,768.992922374429,50,57
"17","Stewart Creek Underpass",2014,"Stewart Creek","Underpass",15,823.211529680365,50,9
"18","Stewart Creek Underpass",2015,"Stewart Creek","Underpass",13,884.334589041096,50,1
"19","Stewart Creek Underpass",2016,"Stewart Creek","Underpass",12,930.911657559198,50,8
"20","Stewart Creek Underpass",2017,"Stewart Creek","Underpass",12,946.533736727937,50,34
"21","Stewart Creek Underpass",2018,"Stewart Creek","Underpass",12,950.874001996008,50,21
"22","Wind Valley Underpass",2008,"Wind Valley","Underpass",5,696.605988160291,65.2727272727273,8
"23","Wind Valley Underpass",2009,"Wind Valley","Underpass",4,704.570662100457,65.2727272727273,10
"24","Wind Valley Underpass",2010,"Wind Valley","Underpass",1,715.680479452055,65.2727272727273,5
"25","Wind Valley Underpass",2011,"Wind Valley","Underpass",13,720.071917808219,65.2727272727273,20
"26","Wind Valley Underpass",2012,"Wind Valley","Underpass",19,752.044057377049,65.2727272727273,11
"27","Wind Valley Underpass",2013,"Wind Valley","Underpass",17,768.992922374429,65.2727272727273,40
"28","Wind Valley Underpass",2014,"Wind Valley","Underpass",18,823.211529680365,65.2727272727273,13
"29","Wind Valley Underpass",2015,"Wind Valley","Underpass",13,884.334589041096,65.2727272727273,8
"30","Wind Valley Underpass",2016,"Wind Valley","Underpass",12,930.911657559198,65.2727272727273,13
"31","Wind Valley Underpass",2017,"Wind Valley","Underpass",12,946.533736727937,65.2727272727273,80
"32","Wind Valley Underpass",2018,"Wind Valley","Underpass",12,950.874001996008,65.2727272727273,127
"33","Deadmans South Jumpout",2008,"Dead Man's","Jumpout",1,696.605988160291,193.272727272727,1
"34","Deadmans Northeast Jumpout",2009,"Dead Man's","Jumpout",0,704.570662100457,193.272727272727,3
"35","Deadmans South Jumpout",2009,"Dead Man's","Jumpout",2,704.570662100457,193.272727272727,8
"36","Deadmans South Jumpout",2010,"Dead Man's","Jumpout",3,715.680479452055,193.272727272727,14
"37","Deadmans South Jumpout",2011,"Dead Man's","Jumpout",3,720.071917808219,193.272727272727,13
"38","Deadmans Northeast Jumpout",2011,"Dead Man's","Jumpout",10,720.071917808219,193.272727272727,1
"39","Deadmans Northeast Jumpout",2012,"Dead Man's","Jumpout",16,752.044057377049,193.272727272727,1
"40","Deadmans South Jumpout",2012,"Dead Man's","Jumpout",18,752.044057377049,193.272727272727,14
"41","Deadmans Northeast Jumpout",2013,"Dead Man's","Jumpout",10,768.992922374429,193.272727272727,8
"42","Deadmans South Jumpout",2013,"Dead Man's","Jumpout",17,768.992922374429,193.272727272727,5
"43","Deadmans Northeast Jumpout",2014,"Dead Man's","Jumpout",9,823.211529680365,193.272727272727,6
"44","Deadmans South Jumpout",2014,"Dead Man's","Jumpout",17,823.211529680365,193.272727272727,1
"45","Deadmans Northeast Jumpout",2015,"Dead Man's","Jumpout",13,884.334589041096,193.272727272727,19
"46","Deadmans South Jumpout",2015,"Dead Man's","Jumpout",13,884.334589041096,193.272727272727,3
"47","Deadmans Northeast Jumpout",2016,"Dead Man's","Jumpout",11,930.911657559198,193.272727272727,5
"48","Deadmans Northwest Jumpout",2016,"Dead Man's","Jumpout",11,930.911657559198,193.272727272727,2
"49","Deadmans South Jumpout",2016,"Dead Man's","Jumpout",11,930.911657559198,193.272727272727,4
"50","Deadmans Northeast Jumpout",2017,"Dead Man's","Jumpout",11,946.533736727937,193.272727272727,5
"51","Deadmans Northwest Jumpout",2017,"Dead Man's","Jumpout",11,946.533736727937,193.272727272727,4
"52","Deadmans South Jumpout",2017,"Dead Man's","Jumpout",12,946.533736727937,193.272727272727,4
"53","Deadmans Northeast Jumpout",2018,"Dead Man's","Jumpout",11,950.874001996008,193.272727272727,20
"54","Deadmans South Jumpout",2018,"Dead Man's","Jumpout",12,950.874001996008,193.272727272727,3
