"","daynight","Location2","Underpass.type","average.effort","Total"
"1","day","Dead Man's","Jumpout",9.4,51
"2","night","Dead Man's","Jumpout",9.4,17
"3","day","Dead Man's","Jumpout",9.90909090909091,46
"4","night","Dead Man's","Jumpout",9.90909090909091,24
"5","day","Stewart Creek","Jumpout",10.0909090909091,18
"6","night","Stewart Creek","Jumpout",10.0909090909091,40
"7","day","Stewart Creek","Underpass",10.1818181818182,136
"8","night","Stewart Creek","Underpass",10.1818181818182,104
"9","day","Wind Valley","Underpass",10.5833333333333,139
"10","night","Wind Valley","Underpass",10.5833333333333,196
"11","day","Dead Man's","Jumpout",11.5555555555556,1
"12","night","Dead Man's","Jumpout",11.5555555555556,5
