"","daynight","Location2","Underpass.type","average.effort","Total"
"1","day","Dead Man's","Jumpout",9.4,204
"2","night","Dead Man's","Jumpout",9.4,146
"3","day","Dead Man's","Jumpout",9.90909090909091,364
"4","night","Dead Man's","Jumpout",9.90909090909091,354
"5","day","Stewart Creek","Jumpout",10.0909090909091,157
"6","night","Stewart Creek","Jumpout",10.0909090909091,94
"7","day","Stewart Creek","Underpass",10.1818181818182,5694
"8","night","Stewart Creek","Underpass",10.1818181818182,677
"9","day","Wind Valley","Underpass",10.5833333333333,3533
"10","night","Wind Valley","Underpass",10.5833333333333,3081
"11","day","Dead Man's","Jumpout",11.5555555555556,104
"12","night","Dead Man's","Jumpout",11.5555555555556,100
