"","Project","Location","UTM_Zone","Easting","Northing","DateStart","DateLastWorking","CameraWorking","Month","Year"
"1","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2008-10-03,2010-02-18,"Yes",10,2008
"2","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2010-02-18,2011-07-04,"-1",2,2010
"3","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2011-07-25,2011-08-15,"Yes",7,2011
"4","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2011-08-15,2011-09-05,"Yes",8,2011
"5","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2011-09-05,2011-09-26,"Yes",9,2011
"6","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2011-09-26,2011-10-17,"Yes",9,2011
"7","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2011-10-17,2011-11-07,"Yes",10,2011
"8","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2011-11-07,2011-11-28,"Yes",11,2011
"9","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2011-11-28,2011-12-22,"Yes",11,2011
"10","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2011-12-22,2012-01-09,"Yes",12,2011
"11","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-01-09,2012-01-28,"Yes",1,2012
"12","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-01-28,2012-02-03,"Yes",1,2012
"13","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-02-03,2012-02-21,"Yes",2,2012
"14","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-02-21,2012-03-12,"Yes",2,2012
"15","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-03-12,2012-04-10,"Yes",3,2012
"16","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-04-10,2012-04-21,"Yes",4,2012
"17","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-04-21,2012-05-14,"Yes",4,2012
"18","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-05-14,2012-05-14,"No",5,2012
"19","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-06-04,2012-07-15,"No",6,2012
"20","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-08-16,2012-08-27,"Yes",8,2012
"21","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-08-27,2012-09-17,"Yes",8,2012
"22","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-09-17,2012-10-08,"Yes",9,2012
"23","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-10-08,2012-10-28,"No",10,2012
"24","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-11-08,2012-11-17,"Yes",11,2012
"25","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-11-17,2012-12-08,"Yes",11,2012
"26","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-12-08,2012-12-29,"Yes",12,2012
"27","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2012-12-29,2013-01-19,"Yes",12,2012
"28","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-01-19,2013-02-09,"Yes",1,2013
"29","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-02-09,2013-03-02,"Yes",2,2013
"30","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-03-02,2013-03-23,"Yes",3,2013
"31","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-03-23,2013-04-13,"Yes",3,2013
"32","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-04-13,2013-05-04,"Yes",4,2013
"33","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-05-04,2013-05-30,"Yes",5,2013
"34","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-05-30,2013-06-17,"Yes",5,2013
"35","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-06-17,2013-07-27,"Yes",6,2013
"36","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-07-27,2013-08-17,"Yes",7,2013
"37","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-08-17,2013-09-07,"Yes",8,2013
"38","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-09-07,2013-09-28,"Yes",9,2013
"39","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-09-28,2013-10-19,"Yes",9,2013
"40","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-10-19,2013-11-09,"Yes",10,2013
"41","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-11-09,2013-11-30,"Yes",11,2013
"42","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-11-30,2013-12-23,"Yes",11,2013
"43","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2013-12-23,2014-01-11,"Yes",12,2013
"44","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-01-11,2014-02-15,"Yes",1,2014
"45","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-02-15,2014-03-08,"Yes",2,2014
"46","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-03-08,2014-03-29,"Yes",3,2014
"47","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-03-29,2014-04-21,"Yes",3,2014
"48","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-04-21,2014-05-12,"Yes",4,2014
"49","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-05-12,2014-05-31,"Yes",5,2014
"50","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-05-31,2014-06-21,"Yes",5,2014
"51","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-06-21,2014-07-12,"Yes",6,2014
"52","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-07-12,2014-08-04,"Yes",7,2014
"53","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-08-04,2014-08-23,"Yes",8,2014
"54","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-08-23,2014-09-13,"Yes",8,2014
"55","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-09-13,2014-10-04,"Yes",9,2014
"56","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-10-04,2014-10-24,"Yes",10,2014
"57","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-10-24,2014-11-15,"Yes",10,2014
"58","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-11-15,2014-12-06,"Yes",11,2014
"59","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-12-06,2014-12-31,"Yes",12,2014
"60","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2014-12-31,2015-01-19,"Yes",12,2014
"61","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-01-19,2015-02-09,"Yes",1,2015
"62","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-02-09,2015-03-01,"Yes",2,2015
"63","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-03-01,2015-03-23,"Yes",3,2015
"64","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-03-23,2015-04-12,"Yes",3,2015
"65","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-04-12,2015-05-10,"Yes",4,2015
"66","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-05-10,2015-06-08,"Yes",5,2015
"67","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-06-08,2015-07-06,"Yes",6,2015
"68","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-07-06,2015-08-10,"Yes",7,2015
"69","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-08-10,2015-09-15,"Yes",8,2015
"70","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-09-15,2015-10-11,"Yes",9,2015
"71","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-10-11,2015-11-10,"Yes",10,2015
"72","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-11-10,2015-12-14,"Yes",11,2015
"73","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2015-12-14,2016-01-07,"Yes",12,2015
"74","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-01-07,2016-02-09,"Yes",1,2016
"75","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-02-09,2016-03-16,"Yes",2,2016
