"","Location","Year","Location2","Underpass.type","annual.effort","Agecentred","annual.traffic","annual.human","Total"
"1","Stewart South Jumpout",2008,"Stewart Creek","Jumpout",1,-3.0206810110717,729.884437596302,1,3
"2","Wind Valley Underpass",2009,"Wind Valley","Underpass",4,1.9793189889283,691.519512195122,1.03225806451613,12
"3","Stewart Creek Underpass",2008,"Stewart Creek","Underpass",5,-3.0206810110717,729.884437596302,1.05479452054795,92
"4","Stewart South Jumpout",2009,"Stewart Creek","Jumpout",2,-3.0206810110717,691.519512195122,1.0625,0
"5","Deadmans Northeast Jumpout",2008,"Dead Man's","Jumpout",1,1.9793189889283,729.884437596302,1.07317073170732,0
"6","Deadmans South Jumpout",2008,"Dead Man's","Jumpout",1,1.9793189889283,729.884437596302,1.07317073170732,1
"7","Wind Valley Underpass",2008,"Wind Valley","Underpass",5,1.9793189889283,729.884437596302,1.09756097560976,10
"8","Stewart Creek Underpass",2009,"Stewart Creek","Underpass",0,-3.0206810110717,691.519512195122,1.24,69
"9","Deadmans Northeast Jumpout",2009,"Dead Man's","Jumpout",0,1.9793189889283,691.519512195122,1.35,4
"10","Deadmans South Jumpout",2009,"Dead Man's","Jumpout",2,1.9793189889283,691.519512195122,1.35,8
"11","Stewart South Jumpout",2010,"Stewart Creek","Jumpout",1,-3.0206810110717,723.847209082308,1.36363636363636,9
"12","Wind Valley Underpass",2018,"Wind Valley","Underpass",12,1.9793189889283,959.057087566522,1.42105263157895,139
"13","Wind Valley Underpass",2010,"Wind Valley","Underpass",1,1.9793189889283,723.847209082308,1.48387096774194,17
"14","Deadmans Northeast Jumpout",2013,"Dead Man's","Jumpout",10,1.9793189889283,852.46162592382,1.50214592274678,8
"15","Deadmans Northwest Jumpout",2013,"Dead Man's","Jumpout",17,1.9793189889283,852.46162592382,1.50214592274678,0
"16","Deadmans South Jumpout",2013,"Dead Man's","Jumpout",17,1.9793189889283,852.46162592382,1.50214592274678,5
"17","Deadmans Northeast Jumpout",2010,"Dead Man's","Jumpout",2,1.9793189889283,723.847209082308,1.56888888888889,0
"18","Deadmans Northwest Jumpout",2010,"Dead Man's","Jumpout",2,1.9793189889283,723.847209082308,1.56888888888889,0
"19","Deadmans South Jumpout",2010,"Dead Man's","Jumpout",3,1.9793189889283,723.847209082308,1.56888888888889,14
"20","Wind Valley Underpass",2017,"Wind Valley","Underpass",12,1.9793189889283,871.194562899787,1.62857142857143,85
"21","Deadmans Northeast Jumpout",2018,"Dead Man's","Jumpout",11,1.9793189889283,959.057087566522,1.68253968253968,22
"22","Deadmans Northwest Jumpout",2018,"Dead Man's","Jumpout",12,1.9793189889283,959.057087566522,1.68253968253968,1
"23","Deadmans South Jumpout",2018,"Dead Man's","Jumpout",12,1.9793189889283,959.057087566522,1.68253968253968,3
"24","Wind Valley Underpass",2012,"Wind Valley","Underpass",19,1.9793189889283,791.201810436635,1.6875,30
"25","Deadmans Northeast Jumpout",2012,"Dead Man's","Jumpout",16,1.9793189889283,791.201810436635,1.74,1
"26","Deadmans Northwest Jumpout",2012,"Dead Man's","Jumpout",18,1.9793189889283,791.201810436635,1.74,1
"27","Deadmans South Jumpout",2012,"Dead Man's","Jumpout",18,1.9793189889283,791.201810436635,1.74,14
"28","Stewart Creek Underpass",2010,"Stewart Creek","Underpass",1,-3.0206810110717,723.847209082308,1.76923076923077,28
"29","Wind Valley Underpass",2016,"Wind Valley","Underpass",12,1.9793189889283,892.425752855659,1.77551020408163,28
"30","Stewart Creek Underpass",2012,"Stewart Creek","Underpass",19,-3.0206810110717,791.201810436635,1.77777777777778,33
"31","Stewart Creek Underpass",2017,"Stewart Creek","Underpass",12,-3.0206810110717,871.194562899787,1.8,53
"32","Deadmans Northwest Jumpout",2011,"Dead Man's","Jumpout",3,1.9793189889283,771.693154619435,1.80225988700565,0
"33","Deadmans South Jumpout",2011,"Dead Man's","Jumpout",3,1.9793189889283,771.693154619435,1.80225988700565,14
"34","Deadmans Northeast Jumpout",2011,"Dead Man's","Jumpout",10,1.9793189889283,771.693154619435,1.80225988700565,1
"35","Deadmans Northeast Jumpout",2016,"Dead Man's","Jumpout",11,1.9793189889283,892.425752855659,1.81578947368421,6
"36","Deadmans Northwest Jumpout",2016,"Dead Man's","Jumpout",11,1.9793189889283,892.425752855659,1.81578947368421,2
"37","Deadmans South Jumpout",2016,"Dead Man's","Jumpout",11,1.9793189889283,892.425752855659,1.81578947368421,4
"38","Stewart Creek Underpass",2014,"Stewart Creek","Underpass",15,-3.0206810110717,921.657644476957,1.83870967741935,32
"39","Stewart South Jumpout",2017,"Stewart Creek","Jumpout",11,-3.0206810110717,871.194562899787,1.85714285714286,8
"40","Deadmans Northeast Jumpout",2014,"Dead Man's","Jumpout",9,1.9793189889283,921.657644476957,1.88,9
"41","Deadmans Northwest Jumpout",2014,"Dead Man's","Jumpout",17,1.9793189889283,921.657644476957,1.88,0
"42","Deadmans South Jumpout",2014,"Dead Man's","Jumpout",17,1.9793189889283,921.657644476957,1.88,1
"43","Stewart South Jumpout",2018,"Stewart Creek","Jumpout",12,-3.0206810110717,959.057087566522,1.90909090909091,5
"44","Deadmans Northeast Jumpout",2015,"Dead Man's","Jumpout",13,1.9793189889283,930.89243498818,1.93650793650794,21
"45","Deadmans Northwest Jumpout",2015,"Dead Man's","Jumpout",13,1.9793189889283,930.89243498818,1.93650793650794,0
"46","Deadmans South Jumpout",2015,"Dead Man's","Jumpout",13,1.9793189889283,930.89243498818,1.93650793650794,3
"47","Stewart South Jumpout",2011,"Stewart Creek","Jumpout",8,-3.0206810110717,771.693154619435,1.94117647058824,4
"48","Stewart South Jumpout",2012,"Stewart Creek","Jumpout",18,-3.0206810110717,791.201810436635,1.95454545454545,4
"49","Wind Valley Underpass",2015,"Wind Valley","Underpass",13,1.9793189889283,930.89243498818,1.96875,10
"50","stewart Creek Underpass",2015,"Stewart Creek","Underpass",0,-3.0206810110717,930.89243498818,2,6
"51","Stewart Creek Underpass",2015,"Stewart Creek","Underpass",13,-3.0206810110717,930.89243498818,2,37
"52","Stewart Creek Underpass",2018,"Stewart Creek","Underpass",12,-3.0206810110717,959.057087566522,2,30
"53","Deadmans Northeast Jumpout",2017,"Dead Man's","Jumpout",11,1.9793189889283,871.194562899787,2.02083333333333,7
"54","Deadmans Northwest Jumpout",2017,"Dead Man's","Jumpout",11,1.9793189889283,871.194562899787,2.02083333333333,4
"55","Deadmans South Jumpout",2017,"Dead Man's","Jumpout",12,1.9793189889283,871.194562899787,2.02083333333333,5
"56","Wind Valley Underpass",2014,"Wind Valley","Underpass",18,1.9793189889283,921.657644476957,2.06896551724138,24
"57","Stewart Creek Underpass",2011,"Stewart Creek","Underpass",5,-3.0206810110717,771.693154619435,2.16666666666667,35
"58","Wind Valley Underpass",2013,"Wind Valley","Underpass",17,1.9793189889283,852.46162592382,2.20588235294118,54
"59","Stewart South Jumpout",2015,"Stewart Creek","Jumpout",13,-3.0206810110717,930.89243498818,2.23076923076923,5
"60","Stewart Creek Underpass",2013,"Stewart Creek","Underpass",17,-3.0206810110717,852.46162592382,2.24,80
"61","Stewart Creek Underpass",2016,"Stewart Creek","Underpass",12,-3.0206810110717,892.425752855659,2.31034482758621,28
"62","Stewart South Jumpout",2013,"Stewart Creek","Jumpout",17,-3.0206810110717,852.46162592382,2.35714285714286,13
"63","Stewart South Jumpout",2016,"Stewart Creek","Jumpout",11,-3.0206810110717,892.425752855659,2.45454545454545,10
"64","Stewart South Jumpout",2014,"Stewart Creek","Jumpout",17,-3.0206810110717,921.657644476957,2.75,9
"65","Wind Valley Underpass",2011,"Wind Valley","Underpass",13,1.9793189889283,771.693154619435,2.92,34
