"","HourEnding","Location2","Underpass.type","average.effort","hourly.traffic","hourly.human","Agecentred","Total","Hour.sq"
"1",4,"Stewart Creek","Jumpout",10.0909090909091,69.5119402985075,0,-3.0206810110717,4,16
"2",4,"Stewart Creek","Underpass",10.1818181818182,69.5119402985075,0,-3.0206810110717,22,16
"3",3,"Stewart Creek","Jumpout",10.0909090909091,79.4122383252818,0,-3.0206810110717,5,9
"4",3,"Stewart Creek","Underpass",10.1818181818182,79.4122383252818,0,-3.0206810110717,30,9
"5",5,"Stewart Creek","Jumpout",10.0909090909091,79.7352024922118,0,-3.0206810110717,3,25
"6",5,"Stewart Creek","Underpass",10.1818181818182,79.7352024922118,0,-3.0206810110717,27,25
"7",2,"Stewart Creek","Jumpout",10.0909090909091,107.44925124792,0,-3.0206810110717,3,4
"8",2,"Stewart Creek","Underpass",10.1818181818182,107.44925124792,0,-3.0206810110717,40,4
"9",6,"Stewart Creek","Jumpout",10.0909090909091,159.436731742589,0,-3.0206810110717,5,36
"10",6,"Stewart Creek","Underpass",10.1818181818182,159.436731742589,0,-3.0206810110717,22,36
"11",1,"Stewart Creek","Jumpout",10.0909090909091,173.106164383562,0,-3.0206810110717,6,1
"12",1,"Stewart Creek","Underpass",10.1818181818182,173.106164383562,0,-3.0206810110717,31,1
"13",7,"Stewart Creek","Jumpout",10.0909090909091,363.779220779221,0,-3.0206810110717,2,49
"14",8,"Stewart Creek","Jumpout",10.0909090909091,667.853634577603,0,-3.0206810110717,4,64
"15",22,"Stewart Creek","Jumpout",10.0909090909091,719.700673724735,0,-3.0206810110717,3,484
"16",22,"Stewart Creek","Underpass",10.1818181818182,719.700673724735,0,-3.0206810110717,29,484
"17",21,"Stewart Creek","Jumpout",10.0909090909091,885.491379310345,0,-3.0206810110717,3,441
"18",21,"Stewart Creek","Underpass",10.1818181818182,885.491379310345,0,-3.0206810110717,25,441
"19",24,"Stewart Creek","Underpass",10.1818181818182,303.289193302892,1,-3.0206810110717,24,576
"20",7,"Stewart Creek","Underpass",10.1818181818182,363.779220779221,1,-3.0206810110717,29,49
"21",8,"Stewart Creek","Underpass",10.1818181818182,667.853634577603,1,-3.0206810110717,25,64
"22",9,"Stewart Creek","Underpass",10.1818181818182,976.041763341067,1,-3.0206810110717,30,81
"23",20,"Stewart Creek","Jumpout",10.0909090909091,1103.34282460137,1,-3.0206810110717,2,400
"24",19,"Stewart Creek","Jumpout",10.0909090909091,1282.12746386334,1,-3.0206810110717,2,361
"25",18,"Stewart Creek","Jumpout",10.0909090909091,1606.96284829721,1,-3.0206810110717,1,324
"26",18,"Stewart Creek","Underpass",10.1818181818182,1606.96284829721,1.16666666666667,-3.0206810110717,17,324
"27",16,"Stewart Creek","Jumpout",10.0909090909091,1628.75680272109,1.25,-3.0206810110717,1,256
"28",20,"Stewart Creek","Underpass",10.1818181818182,1103.34282460137,1.28571428571429,-3.0206810110717,9,400
"29",17,"Stewart Creek","Jumpout",10.0909090909091,1739.3724137931,1.33333333333333,-3.0206810110717,3,289
"30",10,"Stewart Creek","Underpass",10.1818181818182,1209.6592039801,1.35,-3.0206810110717,31,100
"31",15,"Stewart Creek","Underpass",10.1818181818182,1469.29160530191,1.46428571428571,-3.0206810110717,5,225
"32",13,"Stewart Creek","Jumpout",10.0909090909091,1390.72808132147,1.47826086956522,-3.0206810110717,0,169
"33",9,"Stewart Creek","Jumpout",10.0909090909091,976.041763341067,1.5,-3.0206810110717,1,81
"34",19,"Stewart Creek","Underpass",10.1818181818182,1282.12746386334,1.5,-3.0206810110717,18,361
"35",16,"Stewart Creek","Underpass",10.1818181818182,1628.75680272109,1.54545454545455,-3.0206810110717,8,256
"36",11,"Stewart Creek","Underpass",10.1818181818182,1393.5107102593,1.61290322580645,-3.0206810110717,15,121
"37",17,"Stewart Creek","Underpass",10.1818181818182,1739.3724137931,1.6875,-3.0206810110717,7,289
"38",13,"Stewart Creek","Underpass",10.1818181818182,1390.72808132147,1.86567164179104,-3.0206810110717,10,169
"39",14,"Stewart Creek","Jumpout",10.0909090909091,1445.3359375,1.88235294117647,-3.0206810110717,2,196
"40",14,"Stewart Creek","Underpass",10.1818181818182,1445.3359375,1.90909090909091,-3.0206810110717,12,196
"41",24,"Stewart Creek","Jumpout",10.0909090909091,303.289193302892,2,-3.0206810110717,6,576
"42",23,"Stewart Creek","Jumpout",10.0909090909091,509.863970588235,2,-3.0206810110717,6,529
"43",23,"Stewart Creek","Underpass",10.1818181818182,509.863970588235,2,-3.0206810110717,33,529
"44",12,"Stewart Creek","Underpass",10.1818181818182,1530.93138357705,2.01388888888889,-3.0206810110717,18,144
"45",11,"Stewart Creek","Jumpout",10.0909090909091,1393.5107102593,2.05769230769231,-3.0206810110717,4,121
"46",10,"Stewart Creek","Jumpout",10.0909090909091,1209.6592039801,2.07407407407407,-3.0206810110717,1,100
"47",12,"Stewart Creek","Jumpout",10.0909090909091,1530.93138357705,2.28,-3.0206810110717,2,144
"48",15,"Stewart Creek","Jumpout",10.0909090909091,1469.29160530191,2.93333333333333,-3.0206810110717,1,225
"49",4,"Dead Man's","Jumpout",9.4,69.5119402985075,0,1.9793189889283,3,16
"50",4,"Dead Man's","Jumpout",9.90909090909091,69.5119402985075,0,1.9793189889283,2,16
"51",4,"Dead Man's","Jumpout",11.5555555555556,69.5119402985075,0,1.9793189889283,3,16
"52",3,"Wind Valley","Underpass",10.5833333333333,79.4122383252818,0,1.9793189889283,25,9
"53",5,"Dead Man's","Jumpout",9.4,79.7352024922118,0,1.9793189889283,2,25
"54",5,"Dead Man's","Jumpout",9.90909090909091,79.7352024922118,0,1.9793189889283,1,25
"55",5,"Wind Valley","Underpass",10.5833333333333,79.7352024922118,0,1.9793189889283,32,25
"56",2,"Wind Valley","Underpass",10.5833333333333,107.44925124792,0,1.9793189889283,41,4
"57",6,"Wind Valley","Underpass",10.5833333333333,159.436731742589,0,1.9793189889283,26,36
"58",1,"Wind Valley","Underpass",10.5833333333333,173.106164383562,0,1.9793189889283,23,1
"59",24,"Wind Valley","Underpass",10.5833333333333,303.289193302892,0,1.9793189889283,28,576
"60",23,"Wind Valley","Underpass",10.5833333333333,509.863970588235,0,1.9793189889283,37,529
"61",4,"Wind Valley","Underpass",10.5833333333333,69.5119402985075,1,1.9793189889283,28,16
"62",3,"Dead Man's","Jumpout",9.4,79.4122383252818,1,1.9793189889283,2,9
"63",3,"Dead Man's","Jumpout",9.90909090909091,79.4122383252818,1,1.9793189889283,6,9
"64",2,"Dead Man's","Jumpout",9.4,107.44925124792,1,1.9793189889283,2,4
"65",2,"Dead Man's","Jumpout",9.90909090909091,107.44925124792,1,1.9793189889283,3,4
"66",2,"Dead Man's","Jumpout",11.5555555555556,107.44925124792,1,1.9793189889283,1,4
"67",6,"Dead Man's","Jumpout",9.4,159.436731742589,1,1.9793189889283,5,36
"68",6,"Dead Man's","Jumpout",9.90909090909091,159.436731742589,1,1.9793189889283,0,36
"69",1,"Dead Man's","Jumpout",9.4,173.106164383562,1,1.9793189889283,2,1
"70",1,"Dead Man's","Jumpout",9.90909090909091,173.106164383562,1,1.9793189889283,2,1
"71",1,"Dead Man's","Jumpout",11.5555555555556,173.106164383562,1,1.9793189889283,0,1
"72",24,"Dead Man's","Jumpout",9.4,303.289193302892,1,1.9793189889283,3,576
"73",24,"Dead Man's","Jumpout",9.90909090909091,303.289193302892,1,1.9793189889283,2,576
"74",7,"Dead Man's","Jumpout",9.4,363.779220779221,1,1.9793189889283,1,49
"75",7,"Dead Man's","Jumpout",9.90909090909091,363.779220779221,1,1.9793189889283,3,49
"76",7,"Wind Valley","Underpass",10.5833333333333,363.779220779221,1,1.9793189889283,24,49
"77",7,"Dead Man's","Jumpout",11.5555555555556,363.779220779221,1,1.9793189889283,1,49
"78",8,"Wind Valley","Underpass",10.5833333333333,667.853634577603,1,1.9793189889283,20,64
"79",8,"Dead Man's","Jumpout",9.4,667.853634577603,1.1,1.9793189889283,4,64
"80",8,"Dead Man's","Jumpout",9.90909090909091,667.853634577603,1.1,1.9793189889283,3,64
"81",8,"Dead Man's","Jumpout",11.5555555555556,667.853634577603,1.1,1.9793189889283,0,64
"82",18,"Wind Valley","Underpass",10.5833333333333,1606.96284829721,1.13333333333333,1.9793189889283,6,324
"83",23,"Dead Man's","Jumpout",9.4,509.863970588235,1.14285714285714,1.9793189889283,1,529
"84",23,"Dead Man's","Jumpout",9.90909090909091,509.863970588235,1.14285714285714,1.9793189889283,1,529
"85",23,"Dead Man's","Jumpout",11.5555555555556,509.863970588235,1.14285714285714,1.9793189889283,0,529
"86",22,"Dead Man's","Jumpout",9.4,719.700673724735,1.14285714285714,1.9793189889283,4,484
"87",22,"Dead Man's","Jumpout",9.90909090909091,719.700673724735,1.14285714285714,1.9793189889283,1,484
"88",22,"Dead Man's","Jumpout",11.5555555555556,719.700673724735,1.14285714285714,1.9793189889283,1,484
"89",9,"Wind Valley","Underpass",10.5833333333333,976.041763341067,1.28571428571429,1.9793189889283,24,81
"90",19,"Wind Valley","Underpass",10.5833333333333,1282.12746386334,1.3,1.9793189889283,11,361
"91",21,"Dead Man's","Jumpout",9.4,885.491379310345,1.30769230769231,1.9793189889283,0,441
"92",21,"Dead Man's","Jumpout",9.90909090909091,885.491379310345,1.30769230769231,1.9793189889283,0,441
"93",21,"Dead Man's","Jumpout",11.5555555555556,885.491379310345,1.30769230769231,1.9793189889283,1,441
"94",17,"Wind Valley","Underpass",10.5833333333333,1739.3724137931,1.31818181818182,1.9793189889283,7,289
"95",17,"Dead Man's","Jumpout",9.4,1739.3724137931,1.375,1.9793189889283,7,289
"96",17,"Dead Man's","Jumpout",9.90909090909091,1739.3724137931,1.375,1.9793189889283,4,289
"97",17,"Dead Man's","Jumpout",11.5555555555556,1739.3724137931,1.375,1.9793189889283,0,289
"98",10,"Wind Valley","Underpass",10.5833333333333,1209.6592039801,1.37777777777778,1.9793189889283,15,100
"99",20,"Dead Man's","Jumpout",9.4,1103.34282460137,1.38461538461538,1.9793189889283,0,400
"100",20,"Dead Man's","Jumpout",9.90909090909091,1103.34282460137,1.38461538461538,1.9793189889283,2,400
"101",20,"Dead Man's","Jumpout",11.5555555555556,1103.34282460137,1.38461538461538,1.9793189889283,0,400
"102",14,"Wind Valley","Underpass",10.5833333333333,1445.3359375,1.3953488372093,1.9793189889283,7,196
"103",16,"Wind Valley","Underpass",10.5833333333333,1628.75680272109,1.44827586206897,1.9793189889283,3,256
"104",21,"Wind Valley","Underpass",10.5833333333333,885.491379310345,1.5,1.9793189889283,20,441
"105",9,"Dead Man's","Jumpout",9.4,976.041763341067,1.5,1.9793189889283,8,81
"106",9,"Dead Man's","Jumpout",9.90909090909091,976.041763341067,1.5,1.9793189889283,6,81
"107",9,"Dead Man's","Jumpout",11.5555555555556,976.041763341067,1.5,1.9793189889283,0,81
"108",18,"Dead Man's","Jumpout",9.4,1606.96284829721,1.52173913043478,1.9793189889283,4,324
"109",18,"Dead Man's","Jumpout",9.90909090909091,1606.96284829721,1.52173913043478,1.9793189889283,4,324
"110",18,"Dead Man's","Jumpout",11.5555555555556,1606.96284829721,1.52173913043478,1.9793189889283,0,324
"111",16,"Dead Man's","Jumpout",9.4,1628.75680272109,1.54385964912281,1.9793189889283,9,256
"112",16,"Dead Man's","Jumpout",9.90909090909091,1628.75680272109,1.54385964912281,1.9793189889283,5,256
"113",16,"Dead Man's","Jumpout",11.5555555555556,1628.75680272109,1.54385964912281,1.9793189889283,0,256
"114",20,"Wind Valley","Underpass",10.5833333333333,1103.34282460137,1.57142857142857,1.9793189889283,15,400
"115",14,"Dead Man's","Jumpout",9.4,1445.3359375,1.57391304347826,1.9793189889283,3,196
"116",14,"Dead Man's","Jumpout",9.90909090909091,1445.3359375,1.57391304347826,1.9793189889283,3,196
"117",14,"Dead Man's","Jumpout",11.5555555555556,1445.3359375,1.57391304347826,1.9793189889283,0,196
"118",15,"Wind Valley","Underpass",10.5833333333333,1469.29160530191,1.625,1.9793189889283,5,225
"119",19,"Dead Man's","Jumpout",9.4,1282.12746386334,1.64814814814815,1.9793189889283,2,361
"120",19,"Dead Man's","Jumpout",9.90909090909091,1282.12746386334,1.64814814814815,1.9793189889283,0,361
"121",19,"Dead Man's","Jumpout",11.5555555555556,1282.12746386334,1.64814814814815,1.9793189889283,0,361
"122",15,"Dead Man's","Jumpout",9.4,1469.29160530191,1.73913043478261,1.9793189889283,5,225
"123",15,"Dead Man's","Jumpout",9.90909090909091,1469.29160530191,1.73913043478261,1.9793189889283,2,225
"124",15,"Dead Man's","Jumpout",11.5555555555556,1469.29160530191,1.73913043478261,1.9793189889283,1,225
"125",13,"Dead Man's","Jumpout",9.4,1390.72808132147,1.775,1.9793189889283,4,169
"126",13,"Dead Man's","Jumpout",9.90909090909091,1390.72808132147,1.775,1.9793189889283,5,169
"127",13,"Dead Man's","Jumpout",11.5555555555556,1390.72808132147,1.775,1.9793189889283,0,169
"128",12,"Wind Valley","Underpass",10.5833333333333,1530.93138357705,1.82432432432432,1.9793189889283,11,144
"129",10,"Dead Man's","Jumpout",9.4,1209.6592039801,1.8433734939759,1.9793189889283,0,100
"130",10,"Dead Man's","Jumpout",9.90909090909091,1209.6592039801,1.8433734939759,1.9793189889283,9,100
"131",10,"Dead Man's","Jumpout",11.5555555555556,1209.6592039801,1.8433734939759,1.9793189889283,0,100
"132",11,"Dead Man's","Jumpout",9.4,1393.5107102593,1.87209302325581,1.9793189889283,5,121
"133",11,"Dead Man's","Jumpout",9.90909090909091,1393.5107102593,1.87209302325581,1.9793189889283,3,121
"134",11,"Dead Man's","Jumpout",11.5555555555556,1393.5107102593,1.87209302325581,1.9793189889283,0,121
"135",12,"Dead Man's","Jumpout",9.4,1530.93138357705,1.90058479532164,1.9793189889283,3,144
"136",12,"Dead Man's","Jumpout",9.90909090909091,1530.93138357705,1.90058479532164,1.9793189889283,5,144
"137",12,"Dead Man's","Jumpout",11.5555555555556,1530.93138357705,1.90058479532164,1.9793189889283,0,144
"138",11,"Wind Valley","Underpass",10.5833333333333,1393.5107102593,1.92592592592593,1.9793189889283,8,121
"139",13,"Wind Valley","Underpass",10.5833333333333,1390.72808132147,1.96296296296296,1.9793189889283,4,169
