"","Month","Location2","Underpass.type","average.effort","monthly.traffic","monthly.human","Agecentred","Total","Month.sq"
"1",9,"Stewart Creek","Underpass",10.1818181818182,908.563636363636,1.54761904761905,-3.01375928070297,68,81
"2",7,"Stewart Creek","Jumpout",10.0909090909091,1187.73985826002,1.57142857142857,-3.01375928070297,5,49
"3",4,"Stewart Creek","Underpass",10.1818181818182,713.36994949495,1.58333333333333,-3.01375928070297,29,16
"4",1,"Stewart Creek","Underpass",10.1818181818182,622.940982404692,1.6,-3.01375928070297,17,1
"5",7,"Stewart Creek","Underpass",10.1818181818182,1187.73985826002,1.68421052631579,-3.01375928070297,119,49
"6",11,"Stewart Creek","Underpass",10.1818181818182,593.156439393939,1.70833333333333,-3.01375928070297,52,121
"7",6,"Stewart Creek","Underpass",10.1818181818182,872.393434343434,1.71428571428571,-3.01375928070297,80,36
"8",10,"Stewart Creek","Underpass",10.1818181818182,701.422898338221,1.72727272727273,-3.01375928070297,71,100
"9",8,"Stewart Creek","Underpass",10.1818181818182,1218.88758553275,1.72972972972973,-3.01375928070297,106,64
"10",10,"Stewart Creek","Jumpout",10.0909090909091,701.422898338221,1.73333333333333,-3.01375928070297,8,100
"11",11,"Stewart Creek","Jumpout",10.0909090909091,593.156439393939,1.75,-3.01375928070297,13,121
"12",2,"Stewart Creek","Underpass",10.1818181818182,680.33038585209,1.79310344827586,-3.01375928070297,33,4
"13",1,"Stewart Creek","Jumpout",10.0909090909091,622.940982404692,1.82352941176471,-3.01375928070297,9,1
"14",3,"Stewart Creek","Underpass",10.1818181818182,692.367790811339,1.89655172413793,-3.01375928070297,17,9
"15",12,"Stewart Creek","Underpass",10.1818181818182,656.302688172043,2,-3.01375928070297,31,144
"16",2,"Stewart Creek","Jumpout",10.0909090909091,680.33038585209,2,-3.01375928070297,2,4
"17",3,"Stewart Creek","Jumpout",10.0909090909091,692.367790811339,2,-3.01375928070297,4,9
"18",6,"Stewart Creek","Jumpout",10.0909090909091,872.393434343434,2,-3.01375928070297,5,36
"19",9,"Stewart Creek","Jumpout",10.0909090909091,908.563636363636,2.07142857142857,-3.01375928070297,5,81
"20",12,"Stewart Creek","Jumpout",10.0909090909091,656.302688172043,2.07692307692308,-3.01375928070297,16,144
"21",4,"Stewart Creek","Jumpout",10.0909090909091,713.36994949495,2.15384615384615,-3.01375928070297,6,16
"22",8,"Stewart Creek","Jumpout",10.0909090909091,1218.88758553275,2.85714285714286,-3.01375928070297,6,64
"23",2,"Wind Valley","Underpass",10.5833333333333,680.33038585209,1.38461538461538,1.98624071929703,22,4
"24",1,"Wind Valley","Underpass",10.5833333333333,622.940982404692,1.44444444444444,1.98624071929703,18,1
"25",10,"Dead Man's","Jumpout",9.4,701.422898338221,1.5,1.98624071929703,3,100
"26",10,"Dead Man's","Jumpout",9.90909090909091,701.422898338221,1.5,1.98624071929703,0,100
"27",10,"Dead Man's","Jumpout",11.5555555555556,701.422898338221,1.5,1.98624071929703,3,100
"28",6,"Dead Man's","Jumpout",9.4,872.393434343434,1.50625,1.98624071929703,8,36
"29",6,"Dead Man's","Jumpout",9.90909090909091,872.393434343434,1.50625,1.98624071929703,9,36
"30",6,"Dead Man's","Jumpout",11.5555555555556,872.393434343434,1.50625,1.98624071929703,0,36
"31",4,"Wind Valley","Underpass",10.5833333333333,713.36994949495,1.51515151515152,1.98624071929703,26,16
"32",10,"Wind Valley","Underpass",10.5833333333333,701.422898338221,1.52,1.98624071929703,77,100
"33",7,"Wind Valley","Underpass",10.5833333333333,1187.73985826002,1.54166666666667,1.98624071929703,121,49
"34",3,"Wind Valley","Underpass",10.5833333333333,692.367790811339,1.56756756756757,1.98624071929703,21,9
"35",11,"Wind Valley","Underpass",10.5833333333333,593.156439393939,1.57142857142857,1.98624071929703,45,121
"36",7,"Dead Man's","Jumpout",9.4,1187.73985826002,1.62244897959184,1.98624071929703,0,49
"37",7,"Dead Man's","Jumpout",9.90909090909091,1187.73985826002,1.62244897959184,1.98624071929703,4,49
"38",7,"Dead Man's","Jumpout",11.5555555555556,1187.73985826002,1.62244897959184,1.98624071929703,1,49
"39",9,"Dead Man's","Jumpout",9.4,908.563636363636,1.64948453608247,1.98624071929703,4,81
"40",9,"Dead Man's","Jumpout",9.90909090909091,908.563636363636,1.64948453608247,1.98624071929703,2,81
"41",9,"Dead Man's","Jumpout",11.5555555555556,908.563636363636,1.64948453608247,1.98624071929703,0,81
"42",6,"Wind Valley","Underpass",10.5833333333333,872.393434343434,1.65714285714286,1.98624071929703,86,36
"43",8,"Wind Valley","Underpass",10.5833333333333,1218.88758553275,1.66666666666667,1.98624071929703,102,64
"44",4,"Dead Man's","Jumpout",9.4,713.36994949495,1.69230769230769,1.98624071929703,23,16
"45",4,"Dead Man's","Jumpout",9.90909090909091,713.36994949495,1.69230769230769,1.98624071929703,8,16
"46",4,"Dead Man's","Jumpout",11.5555555555556,713.36994949495,1.69230769230769,1.98624071929703,0,16
"47",1,"Dead Man's","Jumpout",9.4,622.940982404692,1.6986301369863,1.98624071929703,7,1
"48",1,"Dead Man's","Jumpout",9.90909090909091,622.940982404692,1.6986301369863,1.98624071929703,12,1
"49",1,"Dead Man's","Jumpout",11.5555555555556,622.940982404692,1.6986301369863,1.98624071929703,0,1
"50",3,"Dead Man's","Jumpout",9.4,692.367790811339,1.69879518072289,1.98624071929703,14,9
"51",3,"Dead Man's","Jumpout",9.90909090909091,692.367790811339,1.69879518072289,1.98624071929703,8,9
"52",3,"Dead Man's","Jumpout",11.5555555555556,692.367790811339,1.69879518072289,1.98624071929703,0,9
"53",12,"Wind Valley","Underpass",10.5833333333333,656.302688172043,1.76,1.98624071929703,27,144
"54",2,"Dead Man's","Jumpout",9.4,680.33038585209,1.7741935483871,1.98624071929703,10,4
"55",2,"Dead Man's","Jumpout",9.90909090909091,680.33038585209,1.7741935483871,1.98624071929703,13,4
"56",2,"Dead Man's","Jumpout",11.5555555555556,680.33038585209,1.7741935483871,1.98624071929703,0,4
"57",8,"Dead Man's","Jumpout",9.4,1218.88758553275,1.82608695652174,1.98624071929703,16,64
"58",8,"Dead Man's","Jumpout",9.90909090909091,1218.88758553275,1.82608695652174,1.98624071929703,1,64
"59",8,"Dead Man's","Jumpout",11.5555555555556,1218.88758553275,1.82608695652174,1.98624071929703,1,64
"60",12,"Dead Man's","Jumpout",9.4,656.302688172043,1.84146341463415,1.98624071929703,3,144
"61",12,"Dead Man's","Jumpout",9.90909090909091,656.302688172043,1.84146341463415,1.98624071929703,11,144
"62",12,"Dead Man's","Jumpout",11.5555555555556,656.302688172043,1.84146341463415,1.98624071929703,2,144
"63",11,"Dead Man's","Jumpout",9.4,593.156439393939,1.87628865979381,1.98624071929703,1,121
"64",11,"Dead Man's","Jumpout",9.90909090909091,593.156439393939,1.87628865979381,1.98624071929703,6,121
"65",11,"Dead Man's","Jumpout",11.5555555555556,593.156439393939,1.87628865979381,1.98624071929703,1,121
"66",9,"Wind Valley","Underpass",10.5833333333333,908.563636363636,2.37142857142857,1.98624071929703,90,81
