"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",0.337187354565612,-2.25218817338828,2.56048579247727,1220,0.59672131147541,"fixed"
"2","HourEnding",-0.291242687513289,-0.338612868014025,-0.247997374652186,1048.88457711557,0.000819672131147541,"fixed"
"3","Hour.sq",0.010201914831213,0.00843268178869039,0.0119113887813,1049.35083073558,0.000819672131147541,"fixed"
"4","Two.way",0.000191934554706917,0.000162457465194166,0.000217434600926936,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.670787259648976,-2.94809852881008,5.92679269256769,1220,0.621311475409836,"fixed"
"6","Location2Wind Valley",0.417234367961722,-6.65806587040424,7.75679688865557,1220,0.8,"fixed"
"7","Underpass.typeUnderpass",1.05671510917586,-3.85853430817951,7.09529685385951,1220,0.532786885245902,"fixed"
"8","Human.total.x",-0.161594759224362,-0.191137452726252,-0.13493801295408,1220,0.000819672131147541,"fixed"
"9","Agecentred",0.00480864804480471,-0.0171535776862584,0.026682275449275,1048.41770410786,0.670491803278689,"fixed"
"10","Location",6.74655385247845,0.0559626461572382,14.5564462297754,1220,NA,"random"
"11","units",0.215394755118822,0.143285212317957,0.294406240034201,1343.12827037605,NA,"residual"
