"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",0.401903932526489,-4.15234986364248,5.01571094205428,1401.08587561666,0.70655737704918,"fixed"
"2","HourEnding",-0.290200839919782,-0.336250567183015,-0.24598205962684,1338.65634331739,0.000819672131147541,"fixed"
"3","Hour.sq",0.0101733599678532,0.0083778662228724,0.0118351652636193,1220,0.000819672131147541,"fixed"
"4","Two.way",0.000191462961491351,0.000164340590345091,0.000219518064113799,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.432223295022422,-6.89213156854385,12.340603996141,1782.77406574379,0.749180327868852,"fixed"
"6","Location2Wind Valley",0.760719764867644,-13.451363803033,16.2889029570651,1220,0.901639344262295,"fixed"
"7","Underpass.typeUnderpass",0.759531857819408,-12.3408467761037,10.8578295438565,1452.82305928878,0.624590163934426,"fixed"
"8","Human.total.x",-0.161322705929847,-0.190861119321198,-0.133431212343567,1262.45509969801,0.000819672131147541,"fixed"
"9","Agecentred",0.00474954097827936,-0.0159756748471409,0.028423262618162,1605.85973446362,0.708196721311475,"fixed"
"10","Location",32.3156487431833,0.08366020349423,76.2772288987189,734.629896804238,NA,"random"
"11","units",0.215140271252499,0.146899713049853,0.293196798310841,1198.17539899088,NA,"residual"
