"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",0.544755391113893,0.0740839630452683,1.01736505440203,1220,0.042622950819672,"fixed"
"2","HourEnding",-0.276377683522193,-0.324053311589523,-0.233303113142028,1038.70661529085,0.000819672131147541,"fixed"
"3","Hour.sq",0.00971826939897756,0.00802065155585296,0.0115024627593812,1220,0.000819672131147541,"fixed"
"4","Two.way",0.000174572595684712,0.000144933888805099,0.000203728850465268,1022.46562699867,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.376336343615083,-0.19087170669809,0.938705279048008,1220,0.165573770491803,"fixed"
"6","Location2Wind Valley",0.191278626791906,-0.177164460445056,0.53856332693249,1048.03801169438,0.29672131147541,"fixed"
"7","Underpass.typeUnderpass",1.03310606072774,0.698977779062261,1.31787499673374,849.006122827563,0.000819672131147541,"fixed"
"8","Human.total.x",-0.156173936246605,-0.184720819670474,-0.127661044229171,1148.67046800709,0.000819672131147541,"fixed"
"9","Agecentred",0.00232779611210611,-0.0947577011065732,0.0863854744384298,1220,0.931147540983607,"fixed"
"10","Year",0.115932501047805,0.00449224648477267,0.314811879721921,1110.99640955685,NA,"random"
"11","Sampling.effort",0.187747328174333,0.00795739989264225,0.465930636486469,1009.89154712027,NA,"random"
"12","units",0.165775943348335,0.0845006012302047,0.242718376595828,826.075220379598,NA,"residual"
