"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-0.414560065678882,-203.950909743387,179.906102691974,1220,0.973770491803279,"fixed"
"2","Year",0.00202533812765489,-0.0876416979008354,0.102929489716189,1220,0.983606557377049,"fixed"
"3","Two.way",5.51059498040193e-06,1.41614873427898e-06,9.6986404969357e-06,1336.3496513103,0.00655737704918025,"fixed"
"4","Location2Stewart Creek",-0.263096036419321,-0.78109917663096,0.28149535776538,1220,0.345901639344262,"fixed"
"5","Location2Wind Valley",-0.195998044898803,-0.995363540656399,0.59232966001764,1220,0.636065573770492,"fixed"
"6","Underpass.typeUnderpass",1.53505954801847,0.157724521763157,2.8929594878864,1220,0.0311475409836066,"fixed"
"7","Human.total.x",-0.00054667645486163,-0.00631333437922876,0.00511883434955962,1220,0.845901639344262,"fixed"
"8","Sampling.effort",0.18237246503469,4.68971223388026e-06,0.524089283247112,1220,NA,"random"
"9","Agecentred",0.0660380885712464,1.36782870876052e-09,0.247572958788674,1220,NA,"random"
"10","units",0.457634077323047,0.2554121056198,0.673851563677087,1220,NA,"residual"
