UNGULATES,variable,post.mean,l.95..CI,u.95..CI,eff.samp,pMCMC,effect,X,adjP.ung.hr,,CARNIVORES,variable,post.mean,l.95..CI,u.95..CI,eff.samp,pMCMC,effect,X,adjP.car.hr
1,(Intercept),2.03142333,0.73437332,3.17797405,1220,0.01803279,fixed,1,0.03306011,,1,(Intercept),0.33718735,-2.2521882,2.56048579,1220,0.59672131,fixed,1,0.92192623
2,HourEnding,-0.2160141,-0.2481667,-0.1814505,1220,0.00081967,fixed,2,0.00180328,,2,HourEnding,-0.2912427,-0.3386129,-0.2479974,1048.88458,0.00081967,fixed,2,0.0022541
3,Hour.sq,0.00739095,0.0061312,0.0086355,1220,0.00081967,fixed,3,0.00180328,,3,Hour.sq,0.01020191,0.00843268,0.01191139,1049.35083,0.00081967,fixed,3,0.0022541
4,Two.way,6.72E-05,6.03E-05,7.31E-05,1220,0.00081967,fixed,4,0.00180328,,4,Two.way,0.00019193,0.00016246,0.00021743,1220,0.00081967,fixed,4,0.0022541
5,Location2Stewart Creek,-0.229331,-2.8682709,2.1103353,1220,0.78196721,fixed,5,0.9557377,,5,Location2Stewart Creek,0.67078726,-2.9480985,5.92679269,1220,0.62131148,fixed,5,0.92192623
6,Location2Wind Valley,-0.5500096,-3.807965,3.73570005,1218.3793,0.6852459,fixed,6,0.94221311,,6,Location2Wind Valley,0.41723437,-6.6580659,7.75679689,1220,0.8,fixed,6,0.97777778
7,Underpass.typeUnderpass,2.03165518,-1.1364864,4.80031855,1220,0.12622951,fixed,7,0.19836066,,7,Underpass.typeUnderpass,1.05671511,-3.8585343,7.09529685,1220,0.53278689,fixed,7,0.92192623
8,Human.total.x,-0.0695128,-0.0796047,-0.0592395,1220,0.00081967,fixed,8,0.00180328,,8,Human.total.x,-0.1615948,-0.1911375,-0.134938,1220,0.00081967,fixed,8,0.0022541
9,Agecentred,-0.0332096,-0.047661,-0.0180063,1220,0.00081967,fixed,9,0.00180328,,9,Agecentred,0.00480865,-0.0171536,0.02668228,1048.4177,0.6704918,fixed,9,0.92192623
10,Location,1.7530334,0.03650001,4.78028812,1220,NA,random,10,NA,,10,Location,6.74655385,0.05596265,14.5564462,1220,NA,random,10,NA
11,units,0.45141991,0.40037862,0.5068137,1220,NA,residual,11,NA,,11,units,0.21539476,0.14328521,0.29440624,1343.12827,NA,residual,11,NA
