"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",2.03142333053593,0.734373320090526,3.17797404786688,1220,0.0180327868852459,"fixed"
"2","HourEnding",-0.216014117327571,-0.248166713671708,-0.181450549596775,1220,0.000819672131147541,"fixed"
"3","Hour.sq",0.00739095258301629,0.00613120355410501,0.00863549976202194,1220,0.000819672131147541,"fixed"
"4","Two.way",6.7247497284569e-05,6.0275306168478e-05,7.31248583178967e-05,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",-0.229330963192201,-2.86827093757893,2.11033529679116,1220,0.781967213114754,"fixed"
"6","Location2Wind Valley",-0.550009606418777,-3.80796500737415,3.73570004654175,1218.3793046038,0.685245901639344,"fixed"
"7","Underpass.typeUnderpass",2.03165517733612,-1.13648637744336,4.80031855471861,1220,0.126229508196721,"fixed"
"8","Human.total.x",-0.0695127681490662,-0.0796047399635427,-0.0592394677660195,1220,0.000819672131147541,"fixed"
"9","Agecentred",-0.0332096478940776,-0.0476610258107826,-0.0180062780855224,1220,0.000819672131147541,"fixed"
"10","Location",1.75303339628317,0.0365000145901143,4.78028812040041,1220,NA,"random"
"11","units",0.451419906318584,0.400378621754117,0.50681370233238,1220,NA,"residual"
