"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-1.02797956511574,-1.56129543463612,-0.429207811423112,830.242623226156,0.000819672131147541,"fixed"
"2","Month",0.662074886000473,0.523411442933138,0.801445932032948,1220,0.000819672131147541,"fixed"
"3","Month.sq",-0.0472452310528719,-0.0566225889779162,-0.0369062433819636,1220,0.000819672131147541,"fixed"
"4","Two.way",3.16712162510495e-05,2.61308887274936e-05,3.7374222301878e-05,1085.59555991808,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",-0.111578173861794,-0.631704754941893,0.412317397043807,1220,0.665573770491803,"fixed"
"6","Location2Wind Valley",-0.0144958404175467,-0.436660039209528,0.400960670640416,1665.45411370369,0.950819672131147,"fixed"
"7","Underpass.typeUnderpass",2.22893367645515,1.82652375476027,2.61122230496403,1220,0.000819672131147541,"fixed"
"8","Human.total.x",0.00608111016566204,-0.0125337963399943,0.0205339883250417,1220,0.454098360655738,"fixed"
"9","Agecentred",-0.0300385110088453,-0.107609504579159,0.0732309191807872,1220,0.473770491803279,"fixed"
"10","Year",0.0238945529429584,0.000277322178582791,0.0861505588161186,1220,NA,"random"
"11","Sampling.effort",0.385863960589283,0.12704493999063,0.793686881427737,1246.37373092648,NA,"random"
"12","units",1.05347680153585,0.886154605139606,1.21110040446332,1220,NA,"residual"
