"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-1.00257463239864,-5.03747045208002,2.53035638419897,1220,0.314754098360656,"fixed"
"2","Month",0.671453056612961,0.5308917217626,0.802669760414574,1220,0.000819672131147541,"fixed"
"3","Month.sq",-0.0480881232258976,-0.0584062863551935,-0.0384912686058669,1220,0.000819672131147541,"fixed"
"4","Two.way",3.23506970510625e-05,2.68678413704038e-05,3.774234210141e-05,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",-0.407558739117366,-7.5531407544695,7.1958828967181,1392.99938639867,0.842622950819672,"fixed"
"6","Location2Wind Valley",-0.461787625231708,-12.9477501269066,10.1835753393825,1220,0.955737704918033,"fixed"
"7","Underpass.typeUnderpass",2.45685789328224,-6.83666901053948,12.2942684321315,1507.73886906685,0.365573770491803,"fixed"
"8","Human.total.x",-0.00542104723635429,-0.0200794152333401,0.00889558313065208,1220,0.475409836065574,"fixed"
"9","Agecentred",-0.0131521757460933,-0.0396597019116598,0.0141641741502099,1220,0.370491803278689,"fixed"
"10","Location",28.1546322801302,0.137352609295037,48.3960644011479,1220,NA,"random"
"11","units",1.01747414510883,0.856702931937577,1.18422233589746,1220,NA,"residual"
