"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-167.980626612959,-350.536486379133,5.62866264584591,1201.43365474754,0.0491803278688525,"fixed"
"2","Year",0.0837437904728802,-0.00251570602995344,0.174148309604789,1200.46765393227,0.0459016393442624,"fixed"
"3","Two.way",1.19918737920173e-05,1.15088187158108e-06,2.08861511055147e-05,1463.27658577454,0.0245901639344261,"fixed"
"4","Location2Stewart Creek",0.881052563771629,0.178545639384538,1.50253345298893,1220,0.00491803278688518,"fixed"
"5","Location2Wind Valley",0.390026188912375,-0.539753213161021,1.21971721824957,1220,0.362295081967213,"fixed"
"6","Underpass.typeUnderpass",1.69486026959307,0.965792363189394,2.39844594952592,1220,0.000819672131147541,"fixed"
"7","Human.total.x",-0.00296601430029025,-0.0131096399854869,0.00708653169567697,1473.25513228679,0.532786885245902,"fixed"
"8","Sampling.effort",0.0767246403630102,7.04464230161011e-08,0.272541617397168,1220,NA,"random"
"9","Agecentred",0.0330910646982279,9.55661193828582e-08,0.136694614268735,945.342482487442,NA,"random"
"10","units",0.520746004306022,0.241528977428886,0.855211279473974,810.2148603683,NA,"residual"
