"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-1.02571439123297,-1.59283329325626,-0.565111764721223,1220,0.000819672131147541,"fixed"
"2","Month",-0.207969120037419,-0.359688560769428,-0.0516123675879498,1220,0.00819672131147541,"fixed"
"3","Month.sq",0.0148268895603388,0.00356852715049172,0.0265255069316481,1220,0.00819672131147531,"fixed"
"4","Two.way",0.000145367844929211,0.000120347904157825,0.000173838212504052,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.394681312475953,-0.0979216788733765,0.891409909521826,1220,0.129508196721311,"fixed"
"6","Location2Wind Valley",0.131683518972342,-0.375471925392048,0.656280025126307,1220,0.60655737704918,"fixed"
"7","Underpass.typeUnderpass",1.67178008675534,1.2523612655641,2.07200337761606,1220,0.000819672131147541,"fixed"
"8","Human.total.x",-0.102313785514461,-0.132867777661886,-0.0727525321417488,1220,0.000819672131147541,"fixed"
"9","Agecentred",0.0231986931808106,-0.0364870009361766,0.0821379403149649,1220,0.414754098360656,"fixed"
"10","Year",0.0220031023254573,0.000233371891784172,0.0821270787409299,1220,NA,"random"
"11","Sampling.effort",0.0503908588608673,0.000230157870929559,0.181728050017933,1220,NA,"random"
"12","units",1.00715703441353,0.775909698118819,1.2982250238081,1220,NA,"residual"
