"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-1.04507529818232,-1.54712443301105,-0.468313182922429,1220,0.00163934426229508,"fixed"
"2","Month",-0.210455986385698,-0.371257613867783,-0.0635612390760798,1354.55866847664,0.00327868852459016,"fixed"
"3","Month.sq",0.0150400335931477,0.00393295389221748,0.0275841670481896,1338.07573708373,0.00983606557377059,"fixed"
"4","Two.way",0.000144792952231771,0.000116612391138915,0.000173134554643184,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.417364653186523,-0.130708468319426,1.02321784047672,1220,0.152459016393443,"fixed"
"6","Location2Wind Valley",0.171330153766453,-0.369471579833771,0.675177591452666,1220,0.531147540983607,"fixed"
"7","Underpass.typeUnderpass",1.67625509426099,1.2119551578653,2.08684499240189,1334.5478359767,0.000819672131147541,"fixed"
"8","Human.total.x",-0.101335699834599,-0.134667998723216,-0.0725158179702703,1220,0.000819672131147541,"fixed"
"9","Agecentred",0.0244154229201447,-0.0497941379799158,0.105560618947493,1220,0.49344262295082,"fixed"
"10","Year",0.0419164786193732,8.22071598377936e-09,0.154297717096838,1220,NA,"random"
"11","Sampling.effort",0.104259334870707,2.97117039696612e-08,0.346488454995429,971.793887537305,NA,"random"
"12","units",1.00397395855436,0.747592560987463,1.25345468035135,1343.8589092064,NA,"residual"
