"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-1.04826745475342,-3.31272997474298,1.30479968721556,1220,0.227868852459016,"fixed"
"2","Month",0.671773554193914,0.53534508478333,0.80890555868973,1220,0.000819672131147541,"fixed"
"3","Month.sq",-0.0480980568991181,-0.0580769842927111,-0.0383896172970708,1220,0.000819672131147541,"fixed"
"4","Two.way",3.22728805581636e-05,2.67693103523925e-05,3.83734004572034e-05,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",-0.220305827493521,-4.9511207486139,4.58738424172043,1260.74778749859,0.8,"fixed"
"6","Location2Wind Valley",-0.0520677494713216,-7.95948332241096,7.89954060555101,1220,0.965573770491803,"fixed"
"7","Underpass.typeUnderpass",2.24364124893272,-2.68119825190661,9.28475418478047,1220,0.247540983606557,"fixed"
"8","Human.total.x",-0.00519238162116397,-0.0187754743383266,0.0096698841516627,1123.68826429522,0.480327868852459,"fixed"
"9","Agecentred",-0.0131047341256218,-0.0388130413011822,0.0168076553491119,1220,0.345901639344262,"fixed"
"10","Location",5.66095774199478,0.114736388562726,18.0807565289273,1220,NA,"random"
"11","units",1.01793838622102,0.861045495973438,1.17624698716451,1108.62286835604,NA,"residual"
